#Point,X(min),Y(Counts)
0,0,7.01E-05
1,0.001,6.91E-05
2,0.001,6.77E-05
3,0.001,6.89E-05
4,0.002,7.01E-05
5,0.002,6.85E-05
6,0.002,6.49E-05
7,0.003,6.30E-05
8,0.003,6.27E-05
9,0.003,6.32E-05
10,0.004,6.34E-05
11,0.004,6.51E-05
12,0.004,6.53E-05
13,0.005,6.49E-05
14,0.005,6.52E-05
15,0.005,6.70E-05
16,0.006,7.13E-05
17,0.006,7.48E-05
18,0.006,7.69E-05
19,0.007,7.58E-05
20,0.007,7.32E-05
21,0.007,7.21E-05
22,0.008,7.09E-05
23,0.008,7.10E-05
24,0.008,7.23E-05
25,0.009,7.40E-05
26,0.009,7.40E-05
27,0.009,7.36E-05
28,0.01,7.69E-05
29,0.01,7.86E-05
30,0.01,8.37E-05
31,0.011,7.62E-05
32,0.011,7.56E-05
33,0.011,7.07E-05
34,0.012,6.88E-05
35,0.012,6.69E-05
36,0.012,6.47E-05
37,0.013,7.40E-05
38,0.013,7.85E-05
39,0.013,7.60E-05
40,0.014,7.01E-05
41,0.014,7.22E-05
42,0.014,8.69E-05
43,0.015,8.47E-05
44,0.015,7.39E-05
45,0.015,6.14E-05
46,0.016,5.80E-05
47,0.016,6.13E-05
48,0.016,6.39E-05
49,0.017,6.92E-05
50,0.017,7.10E-05
51,0.017,6.86E-05
52,0.018,6.56E-05
53,0.018,5.79E-05
54,0.018,5.64E-05
55,0.019,5.76E-05
56,0.019,5.87E-05
57,0.019,6.12E-05
58,0.02,6.66E-05
59,0.02,7.51E-05
60,0.02,7.57E-05
61,0.021,7.02E-05
62,0.021,6.67E-05
63,0.021,6.61E-05
64,0.022,6.68E-05
65,0.022,6.73E-05
66,0.022,6.36E-05
67,0.023,6.29E-05
68,0.023,6.30E-05
69,0.023,6.52E-05
70,0.024,6.41E-05
71,0.024,6.44E-05
72,0.024,6.27E-05
73,0.025,6.04E-05
74,0.025,5.80E-05
75,0.025,5.85E-05
76,0.026,6.20E-05
77,0.026,6.46E-05
78,0.026,6.69E-05
79,0.027,6.98E-05
80,0.027,7.08E-05
81,0.027,6.97E-05
82,0.028,6.81E-05
83,0.028,6.94E-05
84,0.028,7.08E-05
85,0.029,6.85E-05
86,0.029,6.43E-05
87,0.029,6.34E-05
88,0.03,6.71E-05
89,0.03,6.92E-05
90,0.03,6.79E-05
91,0.031,6.65E-05
92,0.031,6.71E-05
93,0.031,6.82E-05
94,0.032,6.80E-05
95,0.032,6.40E-05
96,0.032,6.16E-05
97,0.033,6.18E-05
98,0.033,6.45E-05
99,0.033,6.58E-05
100,0.034,6.49E-05
101,0.034,6.24E-05
102,0.034,6.14E-05
103,0.035,6.16E-05
104,0.035,6.16E-05
105,0.035,6.22E-05
106,0.036,6.35E-05
107,0.036,6.62E-05
108,0.036,6.76E-05
109,0.037,6.88E-05
110,0.037,6.93E-05
111,0.037,6.83E-05
112,0.038,6.59E-05
113,0.038,6.20E-05
114,0.038,5.78E-05
115,0.039,5.58E-05
116,0.039,5.68E-05
117,0.039,6.06E-05
118,0.04,6.14E-05
119,0.04,6.17E-05
120,0.04,5.99E-05
121,0.041,5.95E-05
122,0.041,5.89E-05
123,0.041,5.94E-05
124,0.042,6.12E-05
125,0.042,6.36E-05
126,0.042,6.59E-05
127,0.043,6.96E-05
128,0.043,7.35E-05
129,0.043,7.57E-05
130,0.044,7.19E-05
131,0.044,6.61E-05
132,0.044,6.41E-05
133,0.045,6.71E-05
134,0.045,6.98E-05
135,0.045,7.02E-05
136,0.046,6.61E-05
137,0.046,6.22E-05
138,0.046,5.97E-05
139,0.047,5.90E-05
140,0.047,6.04E-05
141,0.047,6.21E-05
142,0.048,6.49E-05
143,0.048,6.58E-05
144,0.048,6.52E-05
145,0.049,6.41E-05
146,0.049,6.50E-05
147,0.049,6.61E-05
148,0.05,6.67E-05
149,0.05,6.66E-05
150,0.05,6.79E-05
151,0.051,6.85E-05
152,0.051,7.02E-05
153,0.051,6.88E-05
154,0.052,6.64E-05
155,0.052,6.26E-05
156,0.052,6.18E-05
157,0.053,6.00E-05
158,0.053,5.90E-05
159,0.053,5.90E-05
160,0.054,6.21E-05
161,0.054,6.56E-05
162,0.054,6.63E-05
163,0.055,6.76E-05
164,0.055,6.76E-05
165,0.055,6.66E-05
166,0.056,6.45E-05
167,0.056,6.24E-05
168,0.056,6.06E-05
169,0.057,6.05E-05
170,0.057,6.23E-05
171,0.057,6.58E-05
172,0.058,6.66E-05
173,0.058,6.37E-05
174,0.058,6.14E-05
175,0.059,6.24E-05
176,0.059,6.67E-05
177,0.059,6.88E-05
178,0.06,6.85E-05
179,0.06,6.53E-05
180,0.06,6.37E-05
181,0.061,6.15E-05
182,0.061,6.29E-05
183,0.061,6.35E-05
184,0.062,6.56E-05
185,0.062,6.64E-05
186,0.062,6.79E-05
187,0.063,6.74E-05
188,0.063,6.68E-05
189,0.063,6.46E-05
190,0.064,6.33E-05
191,0.064,6.25E-05
192,0.064,6.42E-05
193,0.065,6.47E-05
194,0.065,6.36E-05
195,0.065,6.28E-05
196,0.066,6.27E-05
197,0.066,6.39E-05
198,0.066,6.34E-05
199,0.067,6.58E-05
200,0.067,6.70E-05
201,0.067,6.75E-05
202,0.068,6.62E-05
203,0.068,6.41E-05
204,0.068,6.27E-05
205,0.069,6.09E-05
206,0.069,5.95E-05
207,0.069,5.74E-05
208,0.07,5.73E-05
