2.309-2.568 min,,
#Point,X(Thompsons),Y(Counts)
0,30,298.0022583
1,31.1,1728.606323
2,32,2396.516357
3,33,779.1713257
4,34,939.114624
5,35,1514.935547
6,36,60.8026886
7,37,90.85572815
8,37.9,1.134516835
9,38.9,1.61121583
10,39,88.01164246
11,40,332.9686584
12,41,453.1426697
13,42,1787.071167
14,43,2096.76001
15,44,2919.302979
16,45,11341.78711
17,46,4030.352295
18,47,4314.191895
19,48,4356.096191
20,49,731.7557373
21,50,487.1622009
22,50.9,123.6241226
23,51,29.05266953
24,51.9,20.10630608
25,52,2.365218163
26,53,2.380298138
27,55,10.99313545
28,55.1,2.910799265
29,55.9,3.84243536
30,56,118.6573486
31,57,380.2996521
32,58,558.2578735
33,59,451.7331543
34,59.9,16.775877
35,60,283.3905945
36,61,7438.269043
37,62,3341.055908
38,63,34435.55469
39,64,1194.040649
40,65,1730.552246
41,65.9,41.72358322
42,67,3.619536638
43,69,6.534660339
44,69.9,7.654943943
45,70,341.9908752
46,71,2.176174641
47,73,143.1855621
48,75.9,146.3843689
49,76.9,27.6135807
50,77,261.1703491
51,78,24842.71484
52,79,5967.995605
53,80,1324.845947
54,80.9,301.7429504
55,81.9,1.114130259
56,87.9,21.84165764
57,88,68.45600891
58,89,3.826715469
59,89.9,1.583042026
60,90.8,3.613585711
61,91,10.42487335
62,94,3009.416748
63,95,113.8731766
64,95.8,1.169930696
65,95.9,170.4027863
66,96.1,5.199751854
67,104.9,2.251398802
68,105.1,1.182571173
69,109,2.548028946
70,118,7.163576126
71,118.2,1.673534513
72,125.9,7.747138977
73,126,70.44450378
74,126.2,1.132361174
75,132.9,1.185395598
76,190.9,1.273681283
77,207,100.9905167
78,207,13.21203899
79,280.9,12.57261181
80,281,15.99786282
2.573-2.698 min,,
#Point,X(Thompsons),Y(Counts)
0,30,204.0591583
1,31,1148.71106
2,32,2555.643311
3,33,614.1248779
4,34,722.0430298
5,35,1086.744141
6,36,445.6643372
7,37,2677.58667
8,38.1,4002.96875
9,39.1,18036.25
10,40.1,1095.202271
11,41.1,404.6172791
12,41.2,319.0356445
13,42,1657.252563
14,43,1785.789673
15,44,2773.702881
16,45,18038.75781
17,46,3036.942139
18,47,3759.297852
19,48,3158.652344
20,49,2345.884033
21,50,3981.083252
22,51,1733.755249
23,52,258.509491
24,53,1683.720337
25,53.9,66.1357193
26,54,19.34369659
27,55.6,767.3761597
28,55.7,469.4787292
29,55.9,81.24990082
30,57,10056.7041
31,58,9941.548828
32,59,1069.589966
33,60,858.6983032
34,61,6547.042969
35,62,3139.494141
36,63,28581.90039
37,64,847.8045044
38,65,1459.701172
39,65.9,17.14226723
40,66,144.5882721
41,67,97.58391571
42,68,724.4069214
43,69,3307.936768
44,70,766.5993652
45,70.9,203.180069
