alcohol,Cu catalyst,Base,value
C1=CC=C(C=C1)CCCC=O,CuBr2,NMI,0
C1=CC=C(C=C1)CCCC=O,CuBr2,DBU,17.65
C1=CC=C(C=C1)CCCC=O,CuCl2,NMI,0
C1=CC=C(C=C1)CCCC=O,CuCl2,DBU,2
C1=CC=C(C=C1)CCCC=O,Cu(OTf)2,NMI,0
C1=CC=C(C=C1)CCCC=O,Cu(OTf)2,DBU,54.18
C1=CC=C(C=C1)CCCC=O,Cu(BF4)2,NMI,0
C1=CC=C(C=C1)CCCC=O,Cu(BF4)2,DBU,42.81
C1=CC=C(C=C1)/C=C/C=O,CuBr2,NMI,3.06
C1=CC=C(C=C1)/C=C/C=O,CuBr2,DBU,100
C1=CC=C(C=C1)/C=C/C=O,CuCl2,NMI,0
C1=CC=C(C=C1)/C=C/C=O,CuCl2,DBU,82.36
C1=CC=C(C=C1)/C=C/C=O,Cu(OTf)2,NMI,16.46
C1=CC=C(C=C1)/C=C/C=O,Cu(OTf)2,DBU,100
C1=CC=C(C=C1)/C=C/C=O,Cu(BF4)2,NMI,13.32
C1=CC=C(C=C1)/C=C/C=O,Cu(BF4)2,DBU,100
C1=CC=C(C=C1)C#CC=O,CuBr2,NMI,7.84
C1=CC=C(C=C1)C#CC=O,CuBr2,DBU,91.13
C1=CC=C(C=C1)C#CC=O,CuCl2,NMI,0
C1=CC=C(C=C1)C#CC=O,CuCl2,DBU,38.88
C1=CC=C(C=C1)C#CC=O,Cu(OTf)2,NMI,40.53
C1=CC=C(C=C1)C#CC=O,Cu(OTf)2,DBU,93.93
C1=CC=C(C=C1)C#CC=O,Cu(BF4)2,NMI,35.43
C1=CC=C(C=C1)C#CC=O,Cu(BF4)2,DBU,96.15
C1=CC(=CN=C1)C=O,CuBr2,NMI,0
C1=CC(=CN=C1)C=O,CuBr2,DBU,100
C1=CC(=CN=C1)C=O,CuCl2,NMI,0
C1=CC(=CN=C1)C=O,CuCl2,DBU,67.32
C1=CC(=CN=C1)C=O,Cu(OTf)2,NMI,0
C1=CC(=CN=C1)C=O,Cu(OTf)2,DBU,100
C1=CC(=CN=C1)C=O,Cu(BF4)2,NMI,0
C1=CC(=CN=C1)C=O,Cu(BF4)2,DBU,100
C1=CSC(=C1)C=O,CuBr2,NMI,6.71
C1=CSC(=C1)C=O,CuBr2,DBU,100
C1=CSC(=C1)C=O,CuCl2,NMI,0
C1=CSC(=C1)C=O,CuCl2,DBU,87.65
C1=CSC(=C1)C=O,Cu(OTf)2,NMI,27.81
C1=CSC(=C1)C=O,Cu(OTf)2,DBU,100
C1=CSC(=C1)C=O,Cu(BF4)2,NMI,20.81
C1=CSC(=C1)C=O,Cu(BF4)2,DBU,100
COC1=CC=C(C=C1)C=O,CuBr2,NMI,4.56
COC1=CC=C(C=C1)C=O,CuBr2,DBU,100
COC1=CC=C(C=C1)C=O,CuCl2,NMI,0
COC1=CC=C(C=C1)C=O,CuCl2,DBU,91.34
COC1=CC=C(C=C1)C=O,Cu(OTf)2,NMI,20.17
COC1=CC=C(C=C1)C=O,Cu(OTf)2,DBU,100
COC1=CC=C(C=C1)C=O,Cu(BF4)2,NMI,17.69
COC1=CC=C(C=C1)C=O,Cu(BF4)2,DBU,100
