alcohol,Cu catalyst,Base,value
CC(C1=CC=C(C=C1)C=O)O,CuBr2,NMI,29.58
CC(C1=CC=C(C=C1)C=O)O,CuBr2,DBU,94.58
CC(C1=CC=C(C=C1)C=O)O,CuCl2,NMI,5.21
CC(C1=CC=C(C=C1)C=O)O,CuCl2,DBU,94.46
CC(C1=CC=C(C=C1)C=O)O,Cu(OTf)2,NMI,56.12
CC(C1=CC=C(C=C1)C=O)O,Cu(OTf)2,DBU,90.91
CC(C1=CC=C(C=C1)C=O)O,Cu(BF4)2,NMI,54.01
CC(C1=CC=C(C=C1)C=O)O,Cu(BF4)2,DBU,90.4
C1=CC=C(C=C1)C(CO)C=O,CuBr2,NMI,1.48
C1=CC=C(C=C1)C(CO)C=O,CuBr2,DBU,1.32
C1=CC=C(C=C1)C(CO)C=O,CuCl2,NMI,1.24
C1=CC=C(C=C1)C(CO)C=O,CuCl2,DBU,1.3
C1=CC=C(C=C1)C(CO)C=O,Cu(OTf)2,NMI,1.46
C1=CC=C(C=C1)C(CO)C=O,Cu(OTf)2,DBU,1.93
C1=CC=C(C=C1)C(CO)C=O,Cu(BF4)2,NMI,1.15
C1=CC=C(C=C1)C(CO)C=O,Cu(BF4)2,DBU,1.81
C1=CC=C(C=C1)C(C=O)O,CuBr2,NMI,0.17
C1=CC=C(C=C1)C(C=O)O,CuBr2,DBU,0.25
C1=CC=C(C=C1)C(C=O)O,CuCl2,NMI,0.19
C1=CC=C(C=C1)C(C=O)O,CuCl2,DBU,0.22
C1=CC=C(C=C1)C(C=O)O,Cu(OTf)2,NMI,0
C1=CC=C(C=C1)C(C=O)O,Cu(OTf)2,DBU,0.21
C1=CC=C(C=C1)C(C=O)O,Cu(BF4)2,NMI,0
C1=CC=C(C=C1)C(C=O)O,Cu(BF4)2,DBU,0.14
C1=CC(=CC=C1CO)C=O,CuBr2,NMI,32
C1=CC(=CC=C1CO)C=O,CuBr2,DBU,0
C1=CC(=CC=C1CO)C=O,CuCl2,NMI,7.35
C1=CC(=CC=C1CO)C=O,CuCl2,DBU,0
C1=CC(=CC=C1CO)C=O,Cu(OTf)2,NMI,39.7
C1=CC(=CC=C1CO)C=O,Cu(OTf)2,DBU,0
C1=CC(=CC=C1CO)C=O,Cu(BF4)2,NMI,39.88
C1=CC(=CC=C1CO)C=O,Cu(BF4)2,DBU,0
C(CCCC=O)CCCO,CuBr2,NMI,2.66
C(CCCC=O)CCCO,CuBr2,DBU,26.03
C(CCCC=O)CCCO,CuCl2,NMI,0
C(CCCC=O)CCCO,CuCl2,DBU,4.2
C(CCCC=O)CCCO,Cu(OTf)2,NMI,10.87
C(CCCC=O)CCCO,Cu(OTf)2,DBU,61.56
C(CCCC=O)CCCO,Cu(BF4)2,NMI,4.62
C(CCCC=O)CCCO,Cu(BF4)2,DBU,56.35
C1CC(CCC1CO)C=O,CuBr2,NMI,0.85
C1CC(CCC1CO)C=O,CuBr2,DBU,27.68
C1CC(CCC1CO)C=O,CuCl2,NMI,0.36
C1CC(CCC1CO)C=O,CuCl2,DBU,7.4
C1CC(CCC1CO)C=O,Cu(OTf)2,NMI,2.38
C1CC(CCC1CO)C=O,Cu(OTf)2,DBU,44.97
C1CC(CCC1CO)C=O,Cu(BF4)2,NMI,0.43
C1CC(CCC1CO)C=O,Cu(BF4)2,DBU,40.76
