#Point,X(min),Y(Counts)
0,0.000,0.00010492570074538
1,0.001,0.000105809363926662
2,0.001,0.000108004125623609
3,0.001,0.000110269724721771
4,0.002,0.000110797754312718
5,0.002,0.000108269525662218
6,0.002,0.000105715154726706
7,0.003,0.000103086572983441
8,0.003,0.000102208451367109
9,0.003,0.000101705239308253
10,0.004,0.000100834827867664
11,0.004,0.000101066254809762
12,0.004,0.000100998549543576
13,0.005,0.000101790894830035
14,0.005,0.000103536054566587
15,0.005,0.000104583318884967
16,0.006,0.00010552276073242
17,0.006,0.000102317358224215
18,0.006,9.97675650709129E-05
19,0.007,9.89452224977383E-05
20,0.007,0.000100486422502462
21,0.007,0.000101114925821928
22,0.008,0.000101028788101801
23,0.008,0.000102093039140772
24,0.008,0.000105952243966447
25,0.009,0.000110723663968383
26,0.009,0.000112890355190119
27,0.009,0.000114090378324052
28,0.010,0.000117149648667951
29,0.010,0.000123863440635844
30,0.010,0.000133358092170568
31,0.011,0.000126981140045755
32,0.011,0.000118845655021656
33,0.011,0.000109177042592851
34,0.012,0.000108990431144205
35,0.012,0.000109955894942505
36,0.012,0.000109753260652946
37,0.013,0.000117499379303084
38,0.013,0.00012321409628343
39,0.013,0.000123628158175032
40,0.014,0.000117864168037769
41,0.014,0.000118035359134927
42,0.014,0.000125169961703202
43,0.015,0.000119250441057757
44,0.015,0.000109970471877733
45,0.015,0.00010044076359275
46,0.016,9.81939581664454E-05
47,0.016,9.63062795218561E-05
48,0.016,9.59022166109347E-05
49,0.017,0.000100420885577796
50,0.017,0.000102908635590218
51,0.017,0.000101698010813843
52,0.018,9.73481229864382E-05
53,0.018,9.22385376991538E-05
54,0.018,9.435222157036E-05
55,0.019,9.50765000280434E-05
56,0.019,9.62348397173845E-05
57,0.019,9.63621786837586E-05
58,0.020,0.000101240819227289
59,0.020,0.000105238446450825
60,0.020,0.000104674877717396
61,0.021,0.000101817519141055
62,0.021,9.95021650323042E-05
63,0.021,0.000100473291128247
64,0.022,0.000103416425603621
65,0.022,0.000107672586170908
66,0.022,0.000104833780490384
67,0.023,0.000101730779276176
68,0.023,0.000100056216444845
69,0.023,0.00010448670024432
70,0.024,0.000108456137110864
71,0.024,0.000110464046518498
72,0.024,0.000102801656320132
73,0.025,9.50069876382553E-05
74,0.025,9.07011928684702E-05
75,0.025,9.20592757253458E-05
76,0.026,9.5324552645154E-05
77,0.026,9.74967855287788E-05
78,0.026,9.88890820643268E-05
79,0.027,0.000101007826088424
80,0.027,0.000100699778553209
81,0.027,9.90868978171779E-05
82,0.028,9.80424038127325E-05
83,0.028,9.68415376072127E-05
84,0.028,9.50634892895831E-05
85,0.029,9.42774081008453E-05
86,0.029,9.39964674196676E-05
87,0.029,9.37923875690954E-05
88,0.030,9.44071570249208E-05
89,0.030,9.54275562777818E-05
90,0.030,9.77832685611922E-05
91,0.031,9.86535590213529E-05
92,0.031,9.93884392938159E-05
93,0.031,0.000100053324978146
94,0.032,0.000102316635443708
95,0.032,0.000101704275600911
96,0.032,0.000100909038847753
97,0.033,9.89324523414398E-05
98,0.033,9.72686116159694E-05
99,0.033,9.71971711221507E-05
100,0.034,9.63565170754628E-05
101,0.034,9.56712708331604E-05
102,0.034,9.52772069029196E-05
103,0.035,9.53657535467274E-05
104,0.035,9.61646048917637E-05
105,0.035,9.65144554733042E-05
106,0.036,9.65897507964898E-05
107,0.036,9.56734395193528E-05
108,0.036,9.48524222161099E-05
109,0.037,9.45697940130634E-05
110,0.037,9.54797205567248E-05
111,0.037,9.58688453145024E-05
112,0.038,9.52961212105319E-05
113,0.038,9.43693284096962E-05
114,0.038,9.4914464839979E-05
115,0.039,9.48279662466092E-05
116,0.039,9.50702359303223E-05
117,0.039,9.58176447429012E-05
118,0.040,9.5847281156374E-05
119,0.040,9.54795999209703E-05
120,0.040,9.54635774247303E-05
121,0.041,9.52590157204872E-05
122,0.041,9.50831260330281E-05
123,0.041,9.27689765584547E-05
124,0.042,9.20177122271618E-05
125,0.042,9.17394213965002E-05
126,0.042,9.27995766792692E-05
127,0.043,9.50391539558369E-05
128,0.043,9.68802092940245E-05
129,0.043,9.75147361290494E-05
130,0.044,9.64731339359763E-05
131,0.044,9.72599375605468E-05
132,0.044,0.000100282463287645
133,0.045,0.000105089301920176
134,0.045,0.000107126486033284
135,0.045,0.000105172668653179
136,0.046,0.000100580270225997
137,0.046,9.98481611291515E-05
138,0.046,0.000100854344320028
139,0.047,0.000102773586275763
140,0.047,0.000101548625490996
141,0.047,0.000101514893321321
142,0.048,0.000101895585295185
143,0.048,0.000102991761380229
144,0.048,0.000103555330092116
145,0.049,0.000103737122487043
146,0.049,0.000103412450138499
147,0.049,0.000103367273082457
148,0.050,0.000103251137903278
149,0.050,0.000102685159750699
150,0.050,0.000102659258220186
151,0.051,0.000102586252046611
152,0.051,0.000102789247726423
153,0.051,0.000100340892008982
154,0.052,9.8595973716276E-05
155,0.052,9.85488692455506E-05
156,0.052,9.92633893047152E-05
157,0.053,0.000101160343804805
158,0.053,0.000102232425310602
159,0.053,0.000102799367342859
160,0.054,0.000100462569022387
161,0.054,9.93439850182802E-05
162,0.054,9.92066470712255E-05
163,0.055,9.96913063850591E-05
164,0.055,9.80855328183365E-05
165,0.055,9.59946180841094E-05
166,0.056,9.43294524333809E-05
167,0.056,9.3538673343689E-05
168,0.056,9.39799623804096E-05
169,0.057,9.43605344078663E-05
170,0.057,9.41157348200444E-05
171,0.057,9.40046596214193E-05
172,0.058,9.52379327266825E-05
173,0.058,9.63390483288631E-05
174,0.058,9.60190740536101E-05
175,0.059,9.43492098125804E-05
176,0.059,9.3500965364219E-05
177,0.059,9.4261024386689E-05
178,0.060,9.56846434788842E-05
179,0.060,9.45465430224134E-05
180,0.060,9.25463436181865E-05
181,0.061,9.1030201727715E-05
182,0.061,9.34833766712119E-05
183,0.061,9.65408388574883E-05
184,0.062,9.77753169416023E-05
185,0.062,9.58099343948203E-05
186,0.062,9.27305454538048E-05
187,0.063,9.12063326866832E-05
188,0.063,9.2236490338063E-05
189,0.063,9.09958681026353E-05
190,0.064,8.89139886417472E-05
191,0.064,8.79802086180104E-05
192,0.064,8.9717175980474E-05
193,0.065,9.15610018049322E-05
194,0.065,9.30189559009015E-05
195,0.065,9.44599237932891E-05
196,0.066,9.50899933095218E-05
197,0.066,9.43294524333809E-05
198,0.066,9.38856328032044E-05
199,0.067,9.4185367845587E-05
200,0.067,9.2356359538518E-05
201,0.067,8.94799661049785E-05
202,0.068,8.78798548358988E-05
203,0.068,8.82217558658909E-05
204,0.068,8.96470611012605E-05
205,0.069,9.06862547153265E-05
206,0.069,9.32335165858252E-05
207,0.069,9.60649742348319E-05
208,0.070,9.60108818518583E-05
209,0.070,9.26322404114782E-05
210,0.070,8.9604052731411E-05
211,0.071,8.9902824066452E-05
212,0.071,9.27487373255843E-05
213,0.071,9.3621317107692E-05
214,0.072,9.43159591519026E-05
215,0.072,9.44641405299195E-05
216,0.072,9.47836322621544E-05
217,0.073,9.32532746543719E-05
218,0.073,9.21758925858593E-05
219,0.073,9.31528009258529E-05
220,0.074,9.54018953294304E-05
221,0.074,9.65981835804034E-05
222,0.074,9.58590869159836E-05
223,0.075,9.45625662080006E-05
224,0.075,9.36929981836726E-05
225,0.075,9.45524465915654E-05
226,0.076,9.56444055953053E-05
227,0.076,9.67015491202947E-05
228,0.076,9.64075970113095E-05
229,0.077,9.49624130716387E-05
230,0.077,9.15507622420897E-05
231,0.077,8.9944146293127E-05
232,0.078,8.9956795813671E-05
233,0.078,9.05193996118591E-05
234,0.078,8.82457286030264E-05
235,0.079,8.59824184821378E-05
236,0.079,8.66429674834306E-05
237,0.079,9.09821335496479E-05
238,0.080,9.49231388954016E-05
239,0.080,9.60765394122796E-05
240,0.080,9.51670954116363E-05
241,0.081,9.24145473330203E-05
242,0.081,9.15320892059865E-05
243,0.081,9.05112074101074E-05
244,0.082,9.00444986965444E-05
245,0.082,8.97134410975145E-05
246,0.082,8.93300992731343E-05
247,0.083,8.88830273030163E-05
248,0.083,8.97129599331908E-05
249,0.083,9.12939156231492E-05
250,0.084,9.25322492259772E-05
251,0.084,9.0716131021614E-05
252,0.084,8.91218033752789E-05
253,0.085,8.86730438832921E-05
254,0.085,8.80152660576172E-05
255,0.085,8.7405436463602E-05
256,0.086,8.76760162568356E-05
257,0.086,8.89624180377306E-05
258,0.086,8.98487323728256E-05
259,0.087,8.99867934450602E-05
260,0.087,8.94158747413243E-05
261,0.087,8.94823760626799E-05
262,0.088,9.0763356817441E-05
263,0.088,9.12465698809149E-05
264,0.088,9.00789536467258E-05
265,0.089,8.84193296578858E-05
266,0.089,8.66588707226104E-05
267,0.089,8.51927244248893E-05
268,0.090,8.39417413015174E-05
269,0.090,8.49928606216003E-05
270,0.090,8.58100237848236E-05
271,0.091,8.46893920749525E-05
272,0.091,8.2847613611585E-05
273,0.091,8.10808898892413E-05
274,0.092,8.1894678008727E-05
275,0.092,8.25551070636124E-05
