#Point,X(min),Y(Counts)
0,0.000,0.000110883306299733
1,0.001,0.000112066280962302
2,0.001,0.00011414411424053
3,0.001,0.000113903502987899
4,0.002,0.000111305567423835
5,0.002,0.000109624118651713
6,0.002,0.000109108007476605
7,0.003,0.000109881208698457
8,0.003,0.000109557947254995
9,0.003,0.000110708994890621
10,0.004,0.000112943631448389
11,0.004,0.000113483816531861
12,0.004,0.000112695552820438
13,0.005,0.000111992514019705
14,0.005,0.000111673887221621
15,0.005,0.000111520688716781
16,0.006,0.000111805457446589
17,0.006,0.000112015686861006
18,0.006,0.00011025841140493
19,0.007,0.000108823624979235
20,0.007,0.000107471488427843
21,0.007,0.000108658453959428
22,0.008,0.000109839755032506
23,0.008,0.0001132744884032
24,0.008,0.000117346861717599
25,0.009,0.000121233723020312
26,0.009,0.000122564747127835
27,0.009,0.000124148225537512
28,0.010,0.000128273123516872
29,0.010,0.000132731841239199
30,0.010,0.000138186605319374
31,0.011,0.000130988469506319
32,0.011,0.000125037033991692
33,0.011,0.000116345536558179
34,0.012,0.000113555523813671
35,0.012,0.000113738975427926
36,0.012,0.000115598469009068
37,0.013,0.000125364543629402
38,0.013,0.000131470206190133
39,0.013,0.000131333744086635
40,0.014,0.000125678535822393
41,0.014,0.000125885932466583
42,0.014,0.000135139500721038
43,0.015,0.000132912974998424
44,0.015,0.000125936656401646
45,0.015,0.000118034451773304
46,0.016,0.000116152171537259
47,0.016,0.000116835771184351
48,0.016,0.000118440749329262
49,0.017,0.000121986583549546
50,0.017,0.000122174283766657
51,0.017,0.000116696991594146
52,0.018,0.000110827820135747
53,0.018,0.000104414730090377
54,0.018,0.000106561438616834
55,0.019,0.00010642574870197
56,0.019,0.000106554744166794
57,0.019,0.000105252429343903
58,0.020,0.000110254549264713
59,0.020,0.000115501400496372
60,0.020,0.000115616363601281
61,0.021,0.00011199508877985
62,0.021,0.000109503362287561
63,0.021,0.000107910485492885
64,0.022,0.00010781135713524
65,0.022,0.000108570139557558
66,0.022,0.000108566019959743
67,0.023,0.000109039132596699
68,0.023,0.000109937853490697
69,0.023,0.000111478720181674
70,0.024,0.000113503255869663
71,0.024,0.000116128869967159
72,0.024,0.000112588829095321
73,0.025,0.000106977005198815
74,0.025,0.000102039511370894
75,0.025,0.000100058360787287
76,0.026,0.000102568625409316
77,0.026,0.000105768154113922
78,0.026,0.000108986993657733
79,0.027,0.000111895960422206
80,0.027,0.000111056201599974
81,0.027,0.000108493797854817
82,0.028,0.000104980920601215
83,0.028,0.000101482461525603
84,0.028,0.000100207053415834
85,0.029,0.000101062260522691
86,0.029,0.000103720960315668
87,0.029,0.000106869508916742
88,0.030,0.000109253739043509
89,0.030,0.00011109662529741
90,0.030,0.000111451427650478
91,0.031,0.000111218025394761
92,0.031,0.000108395055683571
93,0.031,0.000107061199910789
94,0.032,0.000106525906890008
95,0.032,0.000105284613753629
96,0.032,0.000104517334493921
97,0.033,0.00010487496888057
98,0.033,0.000106985115665646
99,0.033,0.000107498909687839
100,0.034,0.000106360220770843
101,0.034,0.000105459182528258
102,0.034,0.000106930916973812
103,0.035,0.000109526792627465
104,0.035,0.000111335177073416
105,0.035,0.000111991098002915
106,0.036,0.00011184703997946
107,0.036,0.000111495584759332
108,0.036,0.000111498803347634
109,0.037,0.000111186484629031
110,0.037,0.000110016769953582
111,0.037,0.000108858899202423
112,0.038,0.000108158692481312
113,0.038,0.000107352405633039
114,0.038,0.000106886888593758
115,0.039,0.000106048674609196
116,0.039,0.000106205606249212
117,0.039,0.000106845434789686
118,0.040,0.000108751917789506
119,0.040,0.000110246181294243
120,0.040,0.000109700589106273
121,0.041,0.000106738067236412
122,0.041,0.00010497165139103
123,0.041,0.00010437958473411
124,0.042,0.000107098147838567
125,0.042,0.000108130370119722
126,0.042,0.000109191687273382
127,0.043,0.00010740377210713
128,0.043,0.000107130718618852
129,0.043,0.000106275768785432
130,0.044,0.000105397645742389
131,0.044,0.000104225614040636
132,0.044,0.000105376790203634
133,0.045,0.000111340197864906
134,0.045,0.000116520105332808
135,0.045,0.000118091096864806
136,0.046,0.000114264999606845
137,0.046,0.000112142751393842
138,0.046,0.000111981185148734
139,0.047,0.000112017617977155
140,0.047,0.000110189922757462
141,0.047,0.000107440333664349
142,0.048,0.000107306446136835
143,0.048,0.000109232754729915
144,0.048,0.000110946774201752
145,0.049,0.000109640854615672
146,0.049,0.000105644050711789
147,0.049,0.00010436632474699
148,0.050,0.000104869175900447
149,0.050,0.000107140502560072
150,0.050,0.000108531904341788
151,0.051,0.000108001117013139
152,0.051,0.000106663914107418
153,0.051,0.000106621173015354
154,0.052,0.000108274814329574
155,0.052,0.000109355184703699
156,0.052,0.000108031627948475
157,0.053,0.000107251989803242
158,0.053,0.000106943919503334
159,0.053,0.000106112142511215
160,0.054,0.00010438923994653
161,0.054,0.00010416999914785
162,0.054,0.00010517647382756
163,0.055,0.000103179487944204
164,0.055,0.000100796416215488
165,0.055,9.89688495864733E-05
166,0.056,0.000100959913945068
167,0.056,0.000102667109754641
168,0.056,0.000104135883253653
169,0.057,0.000103027834000793
170,0.057,9.92250386812549E-05
171,0.057,9.54651124459341E-05
172,0.058,9.47315623415419E-05
173,0.058,9.630435644505E-05
174,0.058,9.77091474951696E-05
175,0.059,9.9942110026064E-05
176,0.059,0.000101318191791551
177,0.059,0.000102437827372981
178,0.060,0.000101796325542279
179,0.060,0.000100812380059875
180,0.060,0.000100534691966504
181,0.061,0.000101632183984543
182,0.061,0.000105825442665258
183,0.061,0.000109956263044146
184,0.062,0.000109625148556921
185,0.062,0.000104658689028432
186,0.062,9.9530405492219E-05
187,0.063,9.86437863484314E-05
188,0.063,0.000101832629641901
189,0.063,0.000104755113712971
190,0.064,0.000106882511446263
191,0.064,0.000105894703915723
192,0.064,0.00010343786524441
193,0.065,0.000100389474831373
194,0.065,9.96592727807274E-05
195,0.065,0.000100384711681643
196,0.066,0.000102080579356891
197,0.066,0.000104620968727859
198,0.066,0.000106167113575843
199,0.067,0.000105975422581796
200,0.067,0.000104681604227973
201,0.067,0.00010396504779836
202,0.068,0.000105022889136322
203,0.068,0.000106219381151528
204,0.068,0.000107639362936594
205,0.069,0.000110479712232719
206,0.069,0.000113076617690147
207,0.069,0.000113413010535806
208,0.070,0.000109019693120776
209,0.070,0.000104155708962014
210,0.070,0.000103295995794703
211,0.071,0.000106292633178928
212,0.071,0.000108558424408109
213,0.071,0.000107286877886072
214,0.072,0.000103266643418558
215,0.072,0.000100404665934642
216,0.072,0.000100072908062398
217,0.073,0.000100655705877457
218,0.073,9.98938332273142E-05
219,0.073,9.88616109461596E-05
220,0.074,9.86244751869442E-05
221,0.074,9.95874365859569E-05
222,0.074,0.000100501091355827
223,0.075,0.000100268589833381
224,0.075,9.86768720439125E-05
225,0.075,9.52118846660172E-05
226,0.076,9.49475851044047E-05
227,0.076,9.83363591400353E-05
228,0.076,0.000102971318558897
229,0.077,0.000104894666044294
230,0.077,0.000104320107609026
231,0.077,0.000102877854452577
232,0.078,0.000101819241110143
233,0.078,9.89884178372361E-05
234,0.078,9.63855907629659E-05
235,0.079,9.39023602937284E-05
236,0.079,9.42267804402586E-05
237,0.079,9.74063552601887E-05
238,0.080,0.000101490185990198
239,0.080,0.00010463873440711
240,0.080,0.000104154550586983
241,0.081,0.000101396721883878
242,0.081,9.81368151367556E-05
243,0.081,9.75249227714736E-05
244,0.082,9.78238527741572E-05
245,0.082,9.83041750986325E-05
246,0.082,9.80541657228559E-05
247,0.083,9.91318324008561E-05
248,0.083,9.90763460527081E-05
249,0.083,9.70882430089785E-05
250,0.084,9.46756907278033E-05
251,0.084,9.44464083461433E-05
252,0.084,9.48994379552609E-05
253,0.085,9.64338675617157E-05
254,0.085,9.8230794158272E-05
255,0.085,9.98077075833532E-05
256,0.086,9.93132239860024E-05
257,0.086,9.87700783243113E-05
258,0.086,9.97693438229453E-05
259,0.087,0.000100029780415615
260,0.087,9.78426490204477E-05
261,0.087,9.64478991849851E-05
262,0.088,9.84838930252284E-05
263,0.088,0.000103035301376112
264,0.088,0.000103643717511333
265,0.089,0.000101364923844711
266,0.089,9.84138594019688E-05
267,0.089,9.78323499798697E-05
268,0.090,9.87417557785603E-05
269,0.090,9.87978859548656E-05
270,0.090,9.88555601401151E-05
271,0.091,9.81960348042406E-05
272,0.091,9.88412706909246E-05
273,0.091,9.82562843021188E-05
274,0.092,9.90074711728022E-05
275,0.092,0.000100331800646124
276,0.092,0.000103113831468439
277,0.093,0.000104420652351784
278,0.093,0.000105061253265053
279,0.093,0.000104653539508143
280,0.094,0.000102518160036819
281,0.094,9.9722868859061E-05
282,0.094,9.75880046712561E-05
283,0.095,9.77490560011674E-05
284,0.095,9.96942892240345E-05
285,0.095,9.99978534634876E-05
286,0.096,9.4469967742164E-05
287,0.096,8.86338820713266E-05
288,0.096,8.72386180573129E-05
289,0.097,8.99190735698315E-05
290,0.097,9.01192614012684E-05
291,0.097,9.04842353552446E-05
292,0.098,9.37875261017803E-05
293,0.098,9.78008090299785E-05
294,0.098,9.72211007060994E-05
295,0.099,9.43107182471181E-05
296,0.099,9.37789014563982E-05
297,0.099,9.60316900639764E-05
298,0.100,9.90309016558625E-05
299,0.100,9.93884074978738E-05
300,0.100,9.7892727654063E-05
301,0.101,9.66876095201837E-05
302,0.101,9.6705504112396E-05
303,0.101,9.6889471010171E-05
304,0.102,9.59222613766247E-05
305,0.102,9.57661028460496E-05
306,0.102,9.57236190274232E-05
307,0.103,9.68498203300943E-05
308,0.103,9.52696877642273E-05
309,0.103,9.36908443279657E-05
310,0.104,9.27189997210044E-05
311,0.104,9.40129469877884E-05
312,0.104,9.53144890695613E-05
313,0.105,9.59213611958375E-05
314,0.105,9.65480579255066E-05
315,0.105,9.89745143902817E-05
316,0.106,0.000100072650236477
317,0.106,9.90224051867954E-05
318,0.106,9.72382232938396E-05
319,0.107,9.71618810386145E-05
320,0.107,9.67116845680465E-05
321,0.107,9.56503670000233E-05
322,0.108,9.50425946929599E-05
323,0.108,9.49750074693684E-05
324,0.108,9.35900417592871E-05
325,0.109,9.17780529724226E-05
326,0.109,9.31700978456505E-05
327,0.109,9.50092511715577E-05
328,0.110,9.47543497330905E-05
329,0.110,9.25762289855415E-05
330,0.110,9.18027703751516E-05
331,0.111,9.15608722028515E-05
332,0.111,9.04823038707731E-05
333,0.111,9.02437515422828E-05
334,0.112,9.07345018202967E-05
335,0.112,9.15828861166369E-05
336,0.112,9.12086436891215E-05
337,0.113,9.17663373625697E-05
338,0.113,9.18886381931916E-05
339,0.113,9.15540479190439E-05
340,0.114,9.12504836795907E-05
341,0.114,9.24863700222436E-05
342,0.114,9.37310106598845E-05
343,0.115,9.26375090504585E-05
344,0.115,8.86703150839085E-05
345,0.115,8.57009693100723E-05
346,0.116,8.61107430960914E-05
347,0.116,8.95826814608184E-05
348,0.116,8.99361961575717E-05
349,0.117,8.88828608800645E-05
350,0.117,8.77239598841484E-05
351,0.117,8.89032011352994E-05
352,0.118,8.94701647555779E-05
353,0.118,8.90001422083261E-05
354,0.118,9.10155364941223E-05
355,0.119,9.26985298161634E-05
356,0.119,9.45340794723397E-05
357,0.119,9.48574683151857E-05
358,0.120,9.30417462089842E-05
359,0.120,9.06544269823801E-05
360,0.120,8.77011739658908E-05
361,0.121,8.79769313114352E-05
362,0.121,8.83206618828071E-05
363,0.121,8.63068116059553E-05
364,0.122,8.65928672554321E-05
365,0.122,8.7853471000814E-05
366,0.122,9.1268250095488E-05
367,0.123,9.22456298566517E-05
368,0.123,9.27999762129991E-05
369,0.123,9.26189706300889E-05
370,0.124,9.08703200956369E-05
371,0.124,8.98571511500484E-05
372,0.124,8.89749091537549E-05
373,0.125,8.76213554806044E-05
374,0.125,8.67013928154147E-05
375,0.125,8.64721104337547E-05
376,0.126,8.78321009151858E-05
377,0.126,8.73195945493076E-05
378,0.126,8.83094619247964E-05
379,0.127,8.94182828138062E-05
380,0.127,9.08887303396913E-05
381,0.127,9.21413517945573E-05
382,0.128,9.15911247597829E-05
383,0.128,9.09052076259834E-05
384,0.128,8.84953588337518E-05
385,0.129,8.79825946419526E-05
386,0.129,8.92047057139661E-05
387,0.129,9.05150035640181E-05
388,0.130,9.00608144749012E-05
389,0.130,8.67419466228605E-05
390,0.130,8.42489335015326E-05
391,0.131,8.54393732374034E-05
392,0.131,8.90848505463668E-05
393,0.131,9.08879568619282E-05
394,0.132,8.95721253309648E-05
395,0.132,8.79643140475041E-05
396,0.132,8.71752783316094E-05
397,0.133,8.87711161792962E-05
398,0.133,9.07885715991699E-05
399,0.133,9.46527751599397E-05
400,0.134,9.52304230863867E-05
401,0.134,9.30642757746117E-05
402,0.134,9.0154408230827E-05
403,0.135,8.99305313537633E-05
404,0.135,9.05543964181737E-05
405,0.135,8.95949112492224E-05
406,0.136,8.81504702556716E-05
407,0.136,8.80198011322977E-05
408,0.136,8.83256828584584E-05
409,0.137,8.96854140406775E-05
410,0.137,9.06074363666537E-05
411,0.137,8.99976043988037E-05
412,0.138,8.73687715288447E-05
413,0.138,8.4823362287194E-05
414,0.138,8.42892280097665E-05
415,0.139,8.69346663423326E-05
416,0.139,8.97743728231882E-05
417,0.139,9.14327769188152E-05
418,0.140,9.00287586098133E-05
419,0.140,8.65817954737364E-05
420,0.140,8.22994513074865E-05
421,0.141,8.02556048263333E-05
422,0.141,7.98198259812709E-05
423,0.141,8.36204334637072E-05
424,0.142,8.50790357301334E-05
425,0.142,8.36797805708617E-05
426,0.142,8.08744489150925E-05
427,0.143,7.98838080618406E-05
428,0.143,8.23862193063137E-05
429,0.143,8.4762083695568E-05
430,0.144,8.56214086507069E-05
431,0.144,8.50910076926163E-05
432,0.144,8.38258986234254E-05
433,0.145,8.21237230528576E-05
434,0.145,8.03979895595601E-05
435,0.145,7.94381169150817E-05
436,0.146,8.03189445520368E-05
437,0.146,8.30326139363516E-05
438,0.146,8.540075238772E-05
439,0.147,8.79872296153677E-05
440,0.147,8.9163381375339E-05
441,0.147,8.91904162647756E-05
442,0.148,8.81781489732653E-05
443,0.148,8.78201274794119E-05
444,0.148,8.98926825085521E-05
445,0.149,9.3106629943632E-05
446,0.149,9.51381184600662E-05
447,0.149,9.48203929477376E-05
448,0.150,9.27783483014499E-05
449,0.150,9.10139924851779E-05
450,0.150,8.94332160911539E-05
451,0.151,8.84833868712689E-05
452,0.151,8.84495291713156E-05
453,0.151,8.72893405190853E-05
454,0.152,8.38767507348038E-05
455,0.152,8.09027714608434E-05
456,0.152,7.8289000044547E-05
457,0.153,7.69829511656741E-05
458,0.153,7.99465024860959E-05
459,0.153,8.27674127206608E-05
460,0.154,8.30252769472838E-05
461,0.154,8.00949394986581E-05
462,0.154,7.89987344002884E-05
463,0.155,8.14358759078776E-05
464,0.155,8.32029352130932E-05
465,0.155,8.33383660129063E-05
466,0.156,8.33735128424649E-05
467,0.156,8.42732634287346E-05
468,0.156,8.71639501972836E-05
469,0.157,8.92717787590064E-05
470,0.157,8.94290967695809E-05
471,0.157,8.82474098554072E-05
472,0.158,8.80794060653732E-05
473,0.158,8.75272490194183E-05
474,0.158,8.60044053732104E-05
475,0.159,8.65857866189944E-05
476,0.159,8.97909797590862E-05
477,0.159,9.37536684018271E-05
478,0.160,9.32434795226565E-05
479,0.160,8.91668568687548E-05
480,0.160,8.57014849619144E-05
481,0.161,8.55019409586347E-05
482,0.161,8.74429252103228E-05
483,0.161,8.83104917551896E-05
484,0.162,8.81418441369985E-05
485,0.162,8.61686743706166E-05
486,0.162,8.60080105162323E-05
487,0.163,8.62124458455572E-05
488,0.163,8.77275650271703E-05
489,0.163,8.96084286939407E-05
490,0.164,9.09507809357895E-05
491,0.164,9.08407098935716E-05
492,0.164,8.94383667164111E-05
493,0.165,8.84926553448082E-05
494,0.165,8.69871921122615E-05
495,0.165,8.61220712304172E-05
496,0.166,8.42601334595434E-05
497,0.166,8.3799892091091E-05
498,0.166,8.24093941733894E-05
499,0.167,8.28093808874451E-05
500,0.167,8.32582926482807E-05
501,0.167,8.3320987072536E-05
