#Point,X(min),Y(Counts)
0,0,9.15E-05
1,0.001,9.20E-05
2,0.001,9.19E-05
3,0.001,8.99E-05
4,0.002,8.68E-05
5,0.002,8.34E-05
6,0.002,8.28E-05
7,0.003,8.44E-05
8,0.003,8.66E-05
9,0.003,8.82E-05
10,0.004,8.88E-05
11,0.004,9.05E-05
12,0.004,9.10E-05
13,0.005,9.09E-05
14,0.005,9.03E-05
15,0.005,8.98E-05
16,0.006,8.97E-05
17,0.006,8.95E-05
18,0.006,9.12E-05
19,0.007,9.17E-05
20,0.007,9.04E-05
21,0.007,8.76E-05
22,0.008,8.57E-05
23,0.008,8.72E-05
24,0.008,9.20E-05
25,0.009,9.67E-05
26,0.009,9.87E-05
27,0.009,9.83E-05
28,0.01,0.000100296
29,0.01,0.000100425
30,0.01,0.000105072
31,0.011,9.79E-05
32,0.011,9.70E-05
33,0.011,9.35E-05
34,0.012,9.35E-05
35,0.012,9.23E-05
36,0.012,9.19E-05
37,0.013,0.00010091
38,0.013,0.000107704
39,0.013,0.000105988
40,0.014,9.96E-05
41,0.014,9.92E-05
42,0.014,0.000109558
43,0.015,0.000106579
44,0.015,9.76E-05
45,0.015,8.78E-05
46,0.016,8.75E-05
47,0.016,8.81E-05
48,0.016,8.83E-05
49,0.017,9.08E-05
50,0.017,9.37E-05
51,0.017,9.20E-05
52,0.018,8.75E-05
53,0.018,7.92E-05
54,0.018,7.94E-05
55,0.019,8.19E-05
56,0.019,8.75E-05
57,0.019,8.96E-05
58,0.02,9.14E-05
59,0.02,9.16E-05
60,0.02,8.84E-05
61,0.021,8.42E-05
62,0.021,8.32E-05
63,0.021,8.51E-05
64,0.022,9.08E-05
65,0.022,9.56E-05
66,0.022,9.52E-05
67,0.023,9.24E-05
68,0.023,9.19E-05
69,0.023,9.28E-05
70,0.024,9.33E-05
71,0.024,9.20E-05
72,0.024,8.67E-05
73,0.025,8.27E-05
74,0.025,8.22E-05
75,0.025,8.37E-05
76,0.026,8.69E-05
77,0.026,8.85E-05
78,0.026,9.11E-05
79,0.027,9.20E-05
80,0.027,9.08E-05
81,0.027,8.87E-05
82,0.028,8.94E-05
83,0.028,9.05E-05
84,0.028,9.24E-05
85,0.029,9.37E-05
86,0.029,9.38E-05
87,0.029,9.36E-05
88,0.03,9.41E-05
89,0.03,9.31E-05
90,0.03,9.13E-05
91,0.031,9.02E-05
92,0.031,8.99E-05
93,0.031,9.02E-05
94,0.032,9.04E-05
95,0.032,9.10E-05
96,0.032,9.26E-05
97,0.033,9.30E-05
98,0.033,9.25E-05
99,0.033,9.10E-05
100,0.034,8.98E-05
101,0.034,8.85E-05
102,0.034,8.77E-05
103,0.035,8.67E-05
104,0.035,8.55E-05
105,0.035,8.43E-05
106,0.036,8.41E-05
107,0.036,8.41E-05
108,0.036,8.50E-05
109,0.037,8.51E-05
110,0.037,8.38E-05
111,0.037,8.30E-05
112,0.038,8.20E-05
113,0.038,8.25E-05
114,0.038,8.43E-05
115,0.039,8.45E-05
116,0.039,8.56E-05
117,0.039,8.48E-05
118,0.04,8.46E-05
119,0.04,8.32E-05
120,0.04,8.33E-05
121,0.041,8.24E-05
122,0.041,8.14E-05
123,0.041,8.00E-05
124,0.042,7.95E-05
125,0.042,7.99E-05
126,0.042,8.04E-05
127,0.043,8.17E-05
128,0.043,8.32E-05
129,0.043,8.42E-05
130,0.044,8.50E-05
131,0.044,8.58E-05
132,0.044,8.65E-05
133,0.045,8.74E-05
134,0.045,8.84E-05
135,0.045,8.84E-05
136,0.046,8.61E-05
137,0.046,8.61E-05
138,0.046,8.80E-05
139,0.047,9.13E-05
140,0.047,9.01E-05
141,0.047,8.92E-05
142,0.048,9.05E-05
143,0.048,9.20E-05
144,0.048,8.84E-05
145,0.049,8.37E-05
146,0.049,8.10E-05
147,0.049,8.40E-05
148,0.05,8.78E-05
149,0.05,8.97E-05
150,0.05,8.86E-05
151,0.051,8.58E-05
152,0.051,8.49E-05
153,0.051,8.56E-05
154,0.052,8.75E-05
155,0.052,8.59E-05
156,0.052,8.48E-05
157,0.053,8.14E-05
158,0.053,8.32E-05
159,0.053,8.57E-05
160,0.054,8.91E-05
161,0.054,8.99E-05
162,0.054,8.63E-05
163,0.055,7.91E-05
164,0.055,7.33E-05
165,0.055,7.23E-05
166,0.056,7.70E-05
167,0.056,8.20E-05
168,0.056,8.49E-05
169,0.057,8.64E-05
170,0.057,8.68E-05
171,0.057,8.92E-05
172,0.058,8.75E-05
173,0.058,8.71E-05
174,0.058,8.55E-05
175,0.059,8.69E-05
176,0.059,8.77E-05
177,0.059,8.53E-05
178,0.06,8.40E-05
179,0.06,8.29E-05
180,0.06,8.53E-05
181,0.061,8.58E-05
182,0.061,8.56E-05
183,0.061,8.28E-05
184,0.062,8.26E-05
185,0.062,8.41E-05
186,0.062,8.62E-05
187,0.063,8.63E-05
188,0.063,8.51E-05
189,0.063,8.39E-05
190,0.064,8.38E-05
191,0.064,8.16E-05
192,0.064,7.97E-05
193,0.065,7.89E-05
194,0.065,7.90E-05
195,0.065,7.89E-05
196,0.066,7.94E-05
197,0.066,8.18E-05
198,0.066,8.56E-05
199,0.067,8.67E-05
200,0.067,8.48E-05
201,0.067,8.25E-05
202,0.068,7.96E-05
203,0.068,7.84E-05
204,0.068,7.76E-05
205,0.069,8.11E-05
206,0.069,8.52E-05
207,0.069,8.84E-05
208,0.07,8.84E-05
209,0.07,8.57E-05
210,0.07,8.45E-05
211,0.071,8.39E-05
212,0.071,8.53E-05
213,0.071,8.47E-05
214,0.072,8.37E-05
215,0.072,8.40E-05
216,0.072,8.50E-05
217,0.073,8.56E-05
218,0.073,8.45E-05
219,0.073,8.23E-05
220,0.074,8.13E-05
221,0.074,8.20E-05
222,0.074,8.30E-05
223,0.075,8.16E-05
224,0.075,8.05E-05
225,0.075,7.82E-05
226,0.076,7.79E-05
227,0.076,7.66E-05
228,0.076,7.72E-05
229,0.077,7.69E-05
230,0.077,7.73E-05
231,0.077,7.98E-05
232,0.078,8.14E-05
233,0.078,8.13E-05
234,0.078,8.23E-05
235,0.079,8.45E-05
236,0.079,8.68E-05
237,0.079,8.73E-05
238,0.08,8.82E-05
239,0.08,8.65E-05
240,0.08,8.29E-05
241,0.081,7.96E-05
242,0.081,7.95E-05
243,0.081,7.97E-05
244,0.082,8.04E-05
245,0.082,8.18E-05
246,0.082,8.50E-05
247,0.083,8.68E-05
248,0.083,8.83E-05
249,0.083,8.93E-05
250,0.084,8.99E-05
251,0.084,8.89E-05
252,0.084,8.73E-05
253,0.085,8.62E-05
254,0.085,8.56E-05
255,0.085,8.54E-05
256,0.086,8.42E-05
257,0.086,8.28E-05
258,0.086,7.93E-05
259,0.087,7.79E-05
260,0.087,7.78E-05
261,0.087,8.05E-05
262,0.088,8.30E-05
263,0.088,8.59E-05
264,0.088,8.63E-05
265,0.089,8.56E-05
266,0.089,8.37E-05
267,0.089,8.30E-05
268,0.09,8.34E-05
269,0.09,8.48E-05
270,0.09,8.54E-05
271,0.091,8.41E-05
272,0.091,8.22E-05
273,0.091,8.11E-05
274,0.092,8.12E-05
275,0.092,8.11E-05
276,0.092,8.10E-05
277,0.093,8.10E-05
278,0.093,8.34E-05
279,0.093,8.64E-05
280,0.094,8.73E-05
281,0.094,8.62E-05
282,0.094,8.44E-05
283,0.095,8.41E-05
284,0.095,8.51E-05
285,0.095,8.43E-05
286,0.096,7.91E-05
287,0.096,7.37E-05
288,0.096,7.11E-05
289,0.097,7.40E-05
290,0.097,7.66E-05
291,0.097,7.83E-05
292,0.098,7.88E-05
293,0.098,7.95E-05
294,0.098,7.98E-05
295,0.099,8.02E-05
296,0.099,7.97E-05
297,0.099,7.95E-05
298,0.1,8.02E-05
299,0.1,8.13E-05
300,0.1,8.18E-05
301,0.101,8.02E-05
302,0.101,7.81E-05
303,0.101,7.59E-05
304,0.102,7.43E-05
305,0.102,7.28E-05
306,0.102,7.28E-05
307,0.103,7.52E-05
308,0.103,7.92E-05
309,0.103,8.08E-05
310,0.104,8.02E-05
311,0.104,7.79E-05
312,0.104,7.70E-05
313,0.105,7.78E-05
314,0.105,7.90E-05
315,0.105,7.88E-05
316,0.106,7.73E-05
317,0.106,7.63E-05
318,0.106,7.59E-05
319,0.107,7.70E-05
320,0.107,7.95E-05
321,0.107,8.31E-05
322,0.108,8.46E-05
323,0.108,8.39E-05
324,0.108,8.23E-05
325,0.109,8.31E-05
326,0.109,8.44E-05
327,0.109,8.46E-05
328,0.11,8.25E-05
329,0.11,8.15E-05
330,0.11,8.33E-05
331,0.111,8.28E-05
332,0.111,8.15E-05
333,0.111,8.08E-05
334,0.112,8.16E-05
335,0.112,8.22E-05
336,0.112,8.03E-05
337,0.113,8.09E-05
338,0.113,8.06E-05
339,0.113,8.08E-05
340,0.114,7.87E-05
341,0.114,7.74E-05
342,0.114,7.66E-05
343,0.115,7.54E-05
344,0.115,7.40E-05
345,0.115,7.35E-05
346,0.116,7.63E-05
347,0.116,7.84E-05
348,0.116,7.93E-05
349,0.117,7.82E-05
350,0.117,7.55E-05
351,0.117,7.44E-05
352,0.118,7.60E-05
353,0.118,8.06E-05
354,0.118,8.13E-05
355,0.119,7.94E-05
356,0.119,7.62E-05
357,0.119,7.78E-05
358,0.12,8.05E-05
359,0.12,8.27E-05
360,0.12,8.29E-05
361,0.121,8.06E-05
362,0.121,7.87E-05
363,0.121,7.78E-05
364,0.122,7.66E-05
365,0.122,7.56E-05
366,0.122,7.53E-05
367,0.123,7.68E-05
