#Point,X(min),Y(Counts)
0,0.000,5.78241479344904E-05
1,0.001,5.74303743888361E-05
2,0.001,5.66479999540486E-05
3,0.001,5.70107372329878E-05
4,0.002,5.89473832105887E-05
5,0.002,6.22377738609956E-05
6,0.002,6.42337983250516E-05
7,0.003,6.55329062159862E-05
8,0.003,6.49253267271433E-05
9,0.003,6.42676368777433E-05
10,0.004,6.24115991072715E-05
11,0.004,6.23222617146747E-05
12,0.004,6.21568424591833E-05
13,0.005,6.11444974332292E-05
14,0.005,6.0099391735444E-05
15,0.005,5.9879766572939E-05
16,0.006,6.15962485246842E-05
17,0.006,6.21432641201959E-05
18,0.006,6.30691813535765E-05
19,0.007,6.43176399435237E-05
20,0.007,6.56470296269648E-05
21,0.007,6.62903869907571E-05
22,0.008,6.61557881598841E-05
23,0.008,6.64562375835837E-05
24,0.008,6.77544834164846E-05
25,0.009,6.82129157660199E-05
26,0.009,6.73725639588607E-05
27,0.009,6.67427849340558E-05
28,0.010,7.05877339565314E-05
29,0.010,7.30739820891433E-05
30,0.010,7.60163995147927E-05
31,0.011,7.00274640645908E-05
32,0.011,6.87755572425084E-05
33,0.011,6.61789576652933E-05
34,0.012,6.74279551956708E-05
35,0.012,6.77155798103668E-05
36,0.012,6.83817841786015E-05
37,0.013,7.55446046490967E-05
38,0.013,7.98396885583732E-05
39,0.013,7.96665098556226E-05
40,0.014,7.44965887346516E-05
41,0.014,7.45443287439342E-05
42,0.014,8.0524752141848E-05
43,0.015,7.68839086165632E-05
44,0.015,6.95608415470977E-05
45,0.015,6.17761084855151E-05
46,0.016,5.7771450802465E-05
47,0.016,5.6845210066083E-05
48,0.016,5.72298236092216E-05
49,0.017,6.26248659751405E-05
50,0.017,6.53836517819019E-05
51,0.017,6.37602787266514E-05
52,0.018,6.05146104970109E-05
53,0.018,5.39739178237931E-05
54,0.018,5.38427675333736E-05
55,0.019,5.58685353119833E-05
56,0.019,5.90970689049286E-05
57,0.019,6.10669063521388E-05
58,0.020,6.22408989755273E-05
59,0.020,6.3528583672559E-05
60,0.020,6.16398934499879E-05
61,0.021,5.84404563197525E-05
62,0.021,5.72981466414937E-05
63,0.021,5.78658530076142E-05
64,0.022,5.77662780881342E-05
65,0.022,5.83248244228341E-05
66,0.022,5.8935744579257E-05
67,0.023,6.14703788021993E-05
68,0.023,6.27811254015453E-05
69,0.023,6.07497537832384E-05
70,0.024,5.81295541244397E-05
71,0.024,5.84504784766515E-05
72,0.024,5.77989309063616E-05
73,0.025,5.72095637809152E-05
74,0.025,5.55705649217675E-05
75,0.025,5.51196758883462E-05
76,0.026,5.56124855768444E-05
77,0.026,5.61170415768489E-05
78,0.026,5.91559086051126E-05
79,0.027,6.13871843438892E-05
80,0.027,6.22247344624385E-05
81,0.027,6.09268120554595E-05
82,0.028,5.98692055912291E-05
83,0.028,5.83634042947117E-05
84,0.028,5.83109227350045E-05
85,0.029,5.89813292122163E-05
86,0.029,5.89815447267247E-05
87,0.029,5.85781800724582E-05
88,0.030,5.85732228919057E-05
89,0.030,5.95672478742887E-05
90,0.030,5.86401450027933E-05
91,0.031,5.82735282507331E-05
92,0.031,5.81131738366989E-05
93,0.031,5.83502569847413E-05
94,0.032,5.86158978477622E-05
95,0.032,5.87312065114577E-05
96,0.032,5.87703251696064E-05
97,0.033,5.8373103179848E-05
98,0.033,5.86923032907378E-05
99,0.033,5.82427074407168E-05
100,0.034,5.77658470205775E-05
101,0.034,5.64638295488895E-05
102,0.034,5.71852088686299E-05
103,0.035,5.77669246701993E-05
104,0.035,5.87118087411851E-05
105,0.035,5.89718458801282E-05
106,0.036,5.89977094710523E-05
107,0.036,5.85585668647568E-05
108,0.036,5.77347029195286E-05
109,0.037,5.78818022374333E-05
110,0.037,5.77639072551122E-05
111,0.037,5.89506161594542E-05
112,0.038,5.9432649351734E-05
113,0.038,5.90775633774018E-05
114,0.038,5.81289075327396E-05
115,0.039,5.66667511037162E-05
116,0.039,5.60980749126728E-05
117,0.039,5.47228850046843E-05
118,0.040,5.40256450056411E-05
119,0.040,5.3548461352279E-05
120,0.040,5.46832272519462E-05
121,0.041,5.50300153781459E-05
122,0.041,5.5999900962752E-05
123,0.041,5.4888843200606E-05
124,0.042,5.45962608272607E-05
125,0.042,5.40217654361707E-05
126,0.042,5.36783182473294E-05
127,0.043,5.33118091561739E-05
128,0.043,5.48783899761503E-05
129,0.043,5.93169095819421E-05
130,0.044,6.4211275671486E-05
131,0.044,6.61141910848882E-05
132,0.044,6.42875733572074E-05
133,0.045,6.11506400591975E-05
134,0.045,5.96751207478855E-05
135,0.045,6.06146166285718E-05
136,0.046,6.06674213829621E-05
137,0.046,5.8430757473156E-05
138,0.046,5.51681700442492E-05
139,0.047,5.41046367768773E-05
140,0.047,5.45378523873323E-05
141,0.047,5.42327692475418E-05
142,0.048,5.42664998888201E-05
143,0.048,5.58949376891784E-05
144,0.048,5.86719357051772E-05
145,0.049,5.87492032832662E-05
146,0.049,5.61184424211538E-05
147,0.049,5.36593514289941E-05
148,0.050,5.36103183326609E-05
149,0.050,5.51952191191289E-05
150,0.050,5.73208850408065E-05
151,0.051,5.94588362144207E-05
152,0.051,6.1180921851704E-05
153,0.051,6.12205796044421E-05
154,0.052,6.13441859621109E-05
155,0.052,6.10556989810627E-05
156,0.052,5.99994935152965E-05
157,0.053,5.7536954021223E-05
158,0.053,5.50852987035426E-05
159,0.053,5.21791980932729E-05
160,0.054,4.94583462315004E-05
161,0.054,4.71183347132178E-05
162,0.054,4.87935434783665E-05
163,0.055,5.22968776478001E-05
164,0.055,5.61921537786146E-05
165,0.055,5.81810658206842E-05
166,0.056,5.68848675875825E-05
167,0.056,5.54029902128732E-05
168,0.056,5.56088215218824E-05
169,0.057,5.700718093528E-05
170,0.057,5.72481436527928E-05
171,0.057,5.55580641553224E-05
172,0.058,5.45941056821762E-05
173,0.058,5.42198374520798E-05
174,0.058,5.40685354760061E-05
175,0.059,5.45836524577205E-05
176,0.059,5.62211426382295E-05
177,0.059,5.85554416731455E-05
178,0.060,5.95892318957423E-05
179,0.060,5.98826761729623E-05
180,0.060,6.0145515231754E-05
181,0.061,6.10128085106978E-05
182,0.061,6.1619741147697E-05
183,0.061,5.97088510808455E-05
184,0.062,5.78560463844936E-05
185,0.062,5.77245730053754E-05
186,0.062,6.03996251821577E-05
187,0.063,6.20300027672512E-05
188,0.063,6.12811434977733E-05
189,0.063,5.96794313463729E-05
190,0.064,5.85377681730996E-05
191,0.064,5.69771145031229E-05
192,0.064,5.55634523263519E-05
193,0.065,5.43732948815564E-05
194,0.065,5.47140482932012E-05
195,0.065,5.61870888793477E-05
196,0.066,5.78334157328001E-05
197,0.066,5.88140778521643E-05
198,0.066,5.83487482675627E-05
199,0.067,5.76738156773552E-05
200,0.067,5.70704390682852E-05
201,0.067,5.76018285901211E-05
202,0.068,5.91761684334191E-05
203,0.068,6.31991461600403E-05
204,0.068,6.54011093820414E-05
205,0.069,6.48925660553122E-05
206,0.069,6.27882379969608E-05
207,0.069,5.99170532036068E-05
208,0.070,5.78825565960225E-05
209,0.070,5.60884837462509E-05
210,0.070,5.6423956435802E-05
211,0.071,5.78463475282621E-05
212,0.071,5.70165565101139E-05
213,0.071,5.54215256938733E-05
214,0.072,5.50557710576566E-05
215,0.072,5.57141079130595E-05
216,0.072,5.65670683980772E-05
217,0.073,5.58872864616509E-05
218,0.073,5.594547954123E-05
219,0.073,5.4955765234414E-05
220,0.074,5.28789169716408E-05
221,0.074,5.02383496598368E-05
222,0.074,5.04947225125792E-05
223,0.075,5.29526281749425E-05
224,0.075,5.6106480595139E-05
225,0.075,5.68817424730508E-05
226,0.076,5.71870408961109E-05
227,0.076,5.71002899859339E-05
228,0.076,5.71889806037666E-05
229,0.077,5.73346789713819E-05
230,0.077,5.68406839530872E-05
231,0.077,5.72727140795866E-05
232,0.078,5.73209928751403E-05
233,0.078,5.7775007061633E-05
234,0.078,5.68361578400915E-05
235,0.079,5.47236391513047E-05
236,0.079,5.3628422784644E-05
237,0.079,5.43222142432337E-05
238,0.080,5.63025052232178E-05
239,0.080,5.77197235820772E-05
240,0.080,5.82642604524234E-05
241,0.081,5.88617099500335E-05
242,0.081,5.87994217864755E-05
243,0.081,5.85100725546946E-05
244,0.082,5.64750370741247E-05
245,0.082,5.50469343461734E-05
246,0.082,5.45463656728936E-05
247,0.083,5.69402589014721E-05
248,0.083,5.93513943698408E-05
249,0.083,5.92383488397228E-05
250,0.084,5.67149221420157E-05
251,0.084,5.38066662325024E-05
252,0.084,5.56425520090015E-05
253,0.085,6.01650206822012E-05
254,0.085,6.33906445209642E-05
255,0.085,6.32134786456481E-05
256,0.086,6.15479698832897E-05
257,0.086,6.12040913571132E-05
258,0.086,6.00302066451381E-05
259,0.087,5.92907227192553E-05
260,0.087,5.86197774172327E-05
261,0.087,5.94461199334671E-05
262,0.088,5.95024809855652E-05
263,0.088,5.96583093829531E-05
264,0.088,6.03646016079878E-05
265,0.089,6.18831189927598E-05
266,0.089,6.22063065845335E-05
267,0.089,6.12388995709337E-05
268,0.090,5.87003857014414E-05
269,0.090,5.58779108097375E-05
270,0.090,5.46937883878152E-05
271,0.091,5.54381216984565E-05
272,0.091,5.60002242345147E-05
273,0.091,5.59125035090496E-05
274,0.092,5.65303205536806E-05
275,0.092,5.96177897263403E-05
276,0.092,6.32460241112891E-05
277,0.093,6.58832507940529E-05
278,0.093,6.66653014560605E-05
279,0.093,6.55910994497245E-05
280,0.094,6.41368100132456E-05
281,0.094,6.36395819690059E-05
282,0.094,5.93484847698175E-05
283,0.095,5.38610878081835E-05
284,0.095,5.06101390106085E-05
285,0.095,5.42571242369067E-05
286,0.096,5.84916447538692E-05
287,0.096,6.23728034125671E-05
288,0.096,6.3063900785642E-05
289,0.097,6.26476044515329E-05
290,0.097,6.01767669937076E-05
291,0.097,5.92246627434812E-05
292,0.098,6.0389171957702E-05
293,0.098,6.04468262510099E-05
294,0.098,5.90599977116898E-05
295,0.099,5.62827842582621E-05
296,0.099,5.48064028889163E-05
297,0.099,5.43218911256302E-05
298,0.100,5.4403900408303E-05
299,0.100,5.54984700772792E-05
300,0.100,5.47604949071147E-05
301,0.101,5.45979852516466E-05
302,0.101,5.43801919624635E-05
303,0.101,5.71740012663151E-05
304,0.102,5.94469819915009E-05
305,0.102,5.85547950525405E-05
306,0.102,5.62190950962401E-05
307,0.103,5.29795693384087E-05
308,0.103,5.31790426611003E-05
309,0.103,5.30247228652716E-05
310,0.104,5.34015775777876E-05
311,0.104,5.24200532847702E-05
312,0.104,5.13760251595273E-05
313,0.105,5.2639678293116E-05
314,0.105,5.32315242978871E-05
315,0.105,5.30624406791154E-05
316,0.106,5.11327996167553E-05
317,0.106,5.11142641357553E-05
318,0.106,5.40635783339934E-05
319,0.107,5.68890704288156E-05
320,0.107,5.70015771726624E-05
321,0.107,5.56691699007051E-05
322,0.108,5.54359663992128E-05
323,0.108,5.56903996213791E-05
324,0.108,5.43506643165774E-05
325,0.109,5.32495208384568E-05
326,0.109,5.25272796148417E-05
327,0.109,5.29096297931641E-05
328,0.110,5.35933993646334E-05
329,0.110,5.53012599652447E-05
330,0.110,5.76688584582629E-05
331,0.111,5.86979070533555E-05
332,0.111,5.85935904774664E-05
333,0.111,5.61047563249122E-05
334,0.112,5.33495269700177E-05
335,0.112,5.2500122936867E-05
336,0.112,5.27503528553227E-05
337,0.113,5.41586270152233E-05
338,0.113,5.44526100787144E-05
339,0.113,5.51113778089751E-05
340,0.114,5.49640630054668E-05
341,0.114,5.54943749933003E-05
342,0.114,5.61990507053625E-05
343,0.115,5.61549749052011E-05
344,0.115,5.51794853267387E-05
345,0.115,5.46361340945073E-05
346,0.116,5.58553880020128E-05
347,0.116,5.76596984364773E-05
348,0.116,5.9458512942658E-05
349,0.117,6.01114614728722E-05
350,0.117,5.9586322295719E-05
351,0.117,5.85499456292423E-05
352,0.118,5.6619550034864E-05
353,0.118,5.56148563905965E-05
354,0.118,5.52905912262806E-05
355,0.119,5.57673438506259E-05
356,0.119,5.6768589108599E-05
357,0.119,5.54368284572466E-05
358,0.120,5.44056245243706E-05
359,0.120,5.26637098565591E-05
360,0.120,5.49097496495174E-05
361,0.121,5.75526877365337E-05
362,0.121,5.91380195905584E-05
363,0.121,5.81740610981423E-05
364,0.122,5.72809042475444E-05
365,0.122,5.69650448427743E-05
366,0.122,5.77653081957666E-05
367,0.123,5.84387320880655E-05
368,0.123,6.0176443721945E-05
369,0.123,6.03168615987053E-05
370,0.124,5.87043729510865E-05
371,0.124,5.59930038818449E-05
372,0.124,5.59854604115717E-05
373,0.125,5.71364990440594E-05
374,0.125,5.86572796394884E-05
375,0.125,5.70791680225141E-05
376,0.126,5.54625842909164E-05
377,0.126,5.47922856094987E-05
378,0.126,5.43092824477717E-05
379,0.127,5.41296383097675E-05
380,0.127,5.31817367466151E-05
381,0.127,5.30199812377673E-05
