#Point,X(min),Y(Counts)
0,0,7.48E-05
1,0.001,7.45E-05
2,0.001,7.45E-05
3,0.001,7.48E-05
4,0.002,7.47E-05
5,0.002,7.37E-05
6,0.002,7.27E-05
7,0.003,7.17E-05
8,0.003,7.19E-05
9,0.003,7.12E-05
10,0.004,7.08E-05
11,0.004,7.16E-05
12,0.004,7.41E-05
13,0.005,7.48E-05
14,0.005,7.45E-05
15,0.005,7.32E-05
16,0.006,7.32E-05
17,0.006,7.26E-05
18,0.006,7.28E-05
19,0.007,7.20E-05
20,0.007,7.04E-05
21,0.007,6.95E-05
22,0.008,7.13E-05
23,0.008,7.32E-05
24,0.008,7.61E-05
25,0.009,7.77E-05
26,0.009,7.82E-05
27,0.009,7.81E-05
28,0.01,8.13E-05
29,0.01,8.42E-05
30,0.01,8.88E-05
31,0.011,8.23E-05
32,0.011,8.11E-05
33,0.011,7.87E-05
34,0.012,7.89E-05
35,0.012,7.74E-05
36,0.012,7.58E-05
37,0.013,8.19E-05
38,0.013,8.56E-05
39,0.013,8.37E-05
40,0.014,7.96E-05
41,0.014,8.13E-05
42,0.014,9.14E-05
43,0.015,8.92E-05
44,0.015,8.27E-05
45,0.015,7.36E-05
46,0.016,7.12E-05
47,0.016,7.16E-05
48,0.016,7.30E-05
49,0.017,7.68E-05
50,0.017,7.76E-05
51,0.017,7.49E-05
52,0.018,7.16E-05
53,0.018,6.57E-05
54,0.018,6.72E-05
55,0.019,6.69E-05
56,0.019,6.78E-05
57,0.019,6.75E-05
58,0.02,7.05E-05
59,0.02,7.32E-05
60,0.02,7.13E-05
61,0.021,7.04E-05
62,0.021,7.09E-05
63,0.021,7.23E-05
64,0.022,7.22E-05
65,0.022,7.20E-05
66,0.022,7.13E-05
67,0.023,7.16E-05
68,0.023,7.25E-05
69,0.023,7.24E-05
70,0.024,7.12E-05
71,0.024,7.15E-05
72,0.024,6.91E-05
73,0.025,6.87E-05
74,0.025,6.98E-05
75,0.025,7.27E-05
76,0.026,7.47E-05
77,0.026,7.40E-05
78,0.026,7.32E-05
79,0.027,7.42E-05
80,0.027,7.58E-05
81,0.027,7.68E-05
82,0.028,7.71E-05
83,0.028,7.51E-05
84,0.028,7.25E-05
85,0.029,7.25E-05
86,0.029,7.48E-05
87,0.029,7.76E-05
88,0.03,7.78E-05
89,0.03,7.72E-05
90,0.03,7.73E-05
91,0.031,7.80E-05
92,0.031,7.67E-05
93,0.031,7.49E-05
94,0.032,7.42E-05
95,0.032,7.35E-05
96,0.032,7.30E-05
97,0.033,7.32E-05
98,0.033,7.44E-05
99,0.033,7.58E-05
100,0.034,7.58E-05
101,0.034,7.50E-05
102,0.034,7.44E-05
103,0.035,7.40E-05
104,0.035,7.32E-05
105,0.035,7.33E-05
106,0.036,7.35E-05
107,0.036,7.38E-05
108,0.036,7.42E-05
109,0.037,7.33E-05
110,0.037,7.19E-05
111,0.037,7.02E-05
112,0.038,7.01E-05
113,0.038,7.20E-05
114,0.038,7.25E-05
115,0.039,7.14E-05
116,0.039,6.93E-05
117,0.039,6.91E-05
118,0.04,7.10E-05
119,0.04,7.25E-05
120,0.04,7.20E-05
121,0.041,7.15E-05
122,0.041,7.12E-05
123,0.041,7.08E-05
124,0.042,6.86E-05
125,0.042,6.80E-05
126,0.042,6.90E-05
127,0.043,7.11E-05
128,0.043,7.42E-05
129,0.043,7.87E-05
130,0.044,8.18E-05
131,0.044,8.25E-05
132,0.044,8.09E-05
133,0.045,7.94E-05
134,0.045,7.76E-05
135,0.045,7.59E-05
136,0.046,7.37E-05
137,0.046,7.30E-05
138,0.046,7.28E-05
139,0.047,7.40E-05
140,0.047,7.49E-05
141,0.047,7.45E-05
142,0.048,7.37E-05
143,0.048,7.31E-05
144,0.048,7.39E-05
145,0.049,7.44E-05
146,0.049,7.41E-05
147,0.049,7.37E-05
148,0.05,7.49E-05
149,0.05,7.68E-05
150,0.05,7.82E-05
151,0.051,7.65E-05
152,0.051,7.39E-05
153,0.051,7.38E-05
154,0.052,7.59E-05
155,0.052,7.75E-05
156,0.052,7.64E-05
157,0.053,7.55E-05
158,0.053,7.51E-05
159,0.053,7.29E-05
160,0.054,7.02E-05
161,0.054,6.88E-05
162,0.054,7.05E-05
163,0.055,7.36E-05
164,0.055,7.50E-05
165,0.055,7.60E-05
166,0.056,7.46E-05
167,0.056,7.30E-05
168,0.056,7.15E-05
169,0.057,7.06E-05
170,0.057,6.98E-05
171,0.057,6.85E-05
172,0.058,6.80E-05
173,0.058,6.94E-05
174,0.058,7.16E-05
175,0.059,7.40E-05
176,0.059,7.54E-05
177,0.059,7.48E-05
178,0.06,7.30E-05
179,0.06,7.08E-05
180,0.06,6.98E-05
