#Point,X(min),Y(Counts)
0,0,0.000107611
1,0.001,0.000108999
2,0.001,0.000111166
3,0.001,0.000113358
4,0.002,0.000115359
5,0.002,0.000115246
6,0.002,0.000114312
7,0.003,0.000112173
8,0.003,0.000110589
9,0.003,0.000109866
10,0.004,0.000110497
11,0.004,0.000112978
12,0.004,0.000113969
13,0.005,0.000113666
14,0.005,0.000111852
15,0.005,0.00011173
16,0.006,0.000111304
17,0.006,0.000111357
18,0.006,0.000110754
19,0.007,0.000110958
20,0.007,0.000111008
21,0.007,0.000112602
22,0.008,0.000112767
23,0.008,0.000113059
24,0.008,0.000115036
25,0.009,0.00011707
26,0.009,0.00011643
27,0.009,0.00011429
28,0.01,0.000116875
29,0.01,0.000120643
30,0.01,0.00012368
31,0.011,0.000114299
32,0.011,0.000109967
33,0.011,0.000105585
34,0.012,0.000106661
35,0.012,0.000106448
36,0.012,0.000108041
37,0.013,0.000116201
38,0.013,0.000121959
39,0.013,0.000122293
40,0.014,0.000118497
41,0.014,0.000119017
42,0.014,0.000126184
43,0.015,0.000121146
44,0.015,0.000111212
45,0.015,0.000102309
46,0.016,0.000101003
47,0.016,0.000104292
48,0.016,0.000106813
49,0.017,0.000111158
50,0.017,0.000112266
51,0.017,0.000109102
52,0.018,0.000105595
53,0.018,9.85E-05
54,0.018,0.000101073
55,0.019,0.000102486
56,0.019,0.000105009
57,0.019,0.0001065
58,0.02,0.000110053
59,0.02,0.000113784
60,0.02,0.000111848
61,0.021,0.000108315
62,0.021,0.000108502
63,0.021,0.000106956
64,0.022,0.000105797
65,0.022,0.000105344
66,0.022,0.000106429
67,0.023,0.000110629
68,0.023,0.000112666
69,0.023,0.000113693
70,0.024,0.000112709
71,0.024,0.000112284
72,0.024,0.000107898
73,0.025,0.00010423
74,0.025,0.000102961
75,0.025,0.000105441
76,0.026,0.000108169
77,0.026,0.000107984
78,0.026,0.000106166
79,0.027,0.000105172
80,0.027,0.00010562
81,0.027,0.000105885
82,0.028,0.000107776
83,0.028,0.000110375
84,0.028,0.000111586
85,0.029,0.000112729
86,0.029,0.000112744
87,0.029,0.000114042
88,0.03,0.000114682
89,0.03,0.000114051
90,0.03,0.000113102
91,0.031,0.000110799
92,0.031,0.000109314
93,0.031,0.000108878
94,0.032,0.000109746
95,0.032,0.00010973
96,0.032,0.000110423
97,0.033,0.000113736
98,0.033,0.00011634
99,0.033,0.000115904
100,0.034,0.000113385
101,0.034,0.000112117
102,0.034,0.000112209
103,0.035,0.000109273
104,0.035,0.0001065
105,0.035,0.000105371
106,0.036,0.000108954
107,0.036,0.000110588
108,0.036,0.000110979
109,0.037,0.000111412
110,0.037,0.000112901
111,0.037,0.000112659
112,0.038,0.000109679
113,0.038,0.00010799
114,0.038,0.000108655
115,0.039,0.00010959
116,0.039,0.000109215
117,0.039,0.000108766
118,0.04,0.000107826
119,0.04,0.000107319
120,0.04,0.000107667
121,0.041,0.000108667
122,0.041,0.000108972
123,0.041,0.000109021
124,0.042,0.000110087
125,0.042,0.000111033
126,0.042,0.000111355
127,0.043,0.000109523
128,0.043,0.000108528
129,0.043,0.000108391
130,0.044,0.000109099
131,0.044,0.000109574
132,0.044,0.000109441
133,0.045,0.000109067
134,0.045,0.000109711
135,0.045,0.00011119
136,0.046,0.000111866
137,0.046,0.000110317
138,0.046,0.000106851
139,0.047,0.000105941
140,0.047,0.000106098
141,0.047,0.000107192
142,0.048,0.000107128
143,0.048,0.000107456
144,0.048,0.000106732
145,0.049,0.00010494
146,0.049,0.000105074
147,0.049,0.000105909
148,0.05,0.000105549
149,0.05,0.000103298
150,0.05,0.000102171
151,0.051,0.000103936
152,0.051,0.000105181
153,0.051,0.000103931
154,0.052,0.000102813
155,0.052,0.00010172
156,0.052,0.000103311
157,0.053,0.00010549
158,0.053,0.000107141
159,0.053,0.000104089
160,0.054,0.000101113
161,0.054,9.97E-05
162,0.054,0.000101863
163,0.055,0.000102317
164,0.055,0.000102817
165,0.055,0.000103699
166,0.056,0.000104976
167,0.056,0.00010586
168,0.056,0.000107289
169,0.057,0.00010969
170,0.057,0.000110423
171,0.057,0.000109267
172,0.058,0.00010577
173,0.058,0.000102609
174,0.058,0.000101995
175,0.059,0.000101777
176,0.059,0.000102072
177,0.059,0.000103312
178,0.06,0.000106308
179,0.06,0.000108666
180,0.06,0.000108239
181,0.061,0.000105952
182,0.061,0.000104173
183,0.061,0.000104257
184,0.062,0.000105919
185,0.062,0.000107123
186,0.062,0.000105906
187,0.063,0.000104781
188,0.063,0.000104374
189,0.063,0.00010622
190,0.064,0.000106844
191,0.064,0.000106958
192,0.064,0.000105338
193,0.065,0.000102628
194,0.065,0.000101258
195,0.065,0.000100159
196,0.066,0.000102143
197,0.066,0.000103959
198,0.066,0.000106086
199,0.067,0.000107225
200,0.067,0.000106329
201,0.067,0.000108381
202,0.068,0.00011274
203,0.068,0.000115678
204,0.068,0.000113829
205,0.069,0.000109364
206,0.069,0.000107436
207,0.069,0.000107965
208,0.07,0.000107879
209,0.07,0.000108518
210,0.07,0.000108179
211,0.071,0.000108468
212,0.071,0.000108088
213,0.071,0.0001096
214,0.072,0.000110324
215,0.072,0.000109037
216,0.072,0.000106663
217,0.073,0.000106634
218,0.073,0.000108513
219,0.073,0.00010929
220,0.074,0.000108139
221,0.074,0.000106151
222,0.074,0.000106004
223,0.075,0.000106618
224,0.075,0.000108829
225,0.075,0.000107899
226,0.076,0.000106821
227,0.076,0.000105392
228,0.076,0.000105461
229,0.077,0.000105499
230,0.077,0.000106308
231,0.077,0.000107972
232,0.078,0.000107981
233,0.078,0.000106521
234,0.078,0.000105505
235,0.079,0.000105629
236,0.079,0.000107149
237,0.079,0.000107667
238,0.08,0.000107977
239,0.08,0.000106895
240,0.08,0.000105584
241,0.081,0.000105215
242,0.081,0.000105072
243,0.081,0.000103744
244,0.082,0.000101951
245,0.082,0.000102226
246,0.082,0.000104113
247,0.083,0.000105643
248,0.083,0.000105625
249,0.083,0.000104892
250,0.084,0.000105261
251,0.084,0.000105245
252,0.084,0.000105227
253,0.085,0.000104326
254,0.085,0.000104692
255,0.085,0.000105917
256,0.086,0.000107237
257,0.086,0.000107151
258,0.086,0.000107518
259,0.087,0.000108878
260,0.087,0.000110018
261,0.087,0.000109644
262,0.088,0.000108384
263,0.088,0.00010828
264,0.088,0.000107124
265,0.089,0.00010633
266,0.089,0.000106571
267,0.089,0.000107838
268,0.09,0.000108741
269,0.09,0.00010779
270,0.09,0.000106625
271,0.091,0.000105832
272,0.091,0.000104793
273,0.091,0.000105808
274,0.092,0.000107369
275,0.092,0.000109071
276,0.092,0.000109752
277,0.093,0.000108479
278,0.093,0.000108302
279,0.093,0.000106916
280,0.094,0.000106325
281,0.094,0.000105401
282,0.094,0.000103954
283,0.095,0.000102036
284,0.095,0.000100643
285,0.095,0.000102198
286,0.096,0.000103952
287,0.096,0.000104715
288,0.096,0.000105223
289,0.097,0.000107957
290,0.097,0.000110766
291,0.097,0.000112244
292,0.098,0.000112017
293,0.098,0.000110217
294,0.098,0.000109688
295,0.099,0.000108855
296,0.099,0.000110439
297,0.099,0.000111537
298,0.1,0.00011112
299,0.1,0.000109668
300,0.1,0.000107603
301,0.101,0.000107259
302,0.101,0.000106348
303,0.101,0.000104715
304,0.102,0.000104002
305,0.102,0.000105431
306,0.102,0.000108081
307,0.103,0.000108505
308,0.103,0.000107778
309,0.103,0.000106608
310,0.104,0.000106735
311,0.104,0.000105362
312,0.104,0.000104184
313,0.105,0.0001022
314,0.105,0.000101651
315,0.105,0.000102704
316,0.106,0.000104407
317,0.106,0.000106032
318,0.106,0.000106392
319,0.107,0.000106711
320,0.107,0.000106506
321,0.107,0.000104339
322,0.108,0.000102439
323,0.108,0.000101435
324,0.108,0.000101755
325,0.109,0.000101375
326,0.109,0.00010024
327,0.109,0.00010052
328,0.11,0.000102167
329,0.11,0.000103763
330,0.11,0.000103463
331,0.111,0.000102492
332,0.111,0.000102225
333,0.111,0.000103061
334,0.112,0.000103262
335,0.112,0.000101835
336,0.112,9.98E-05
337,0.113,0.000102457
338,0.113,0.000106981
339,0.113,0.000110941
340,0.114,0.000109204
341,0.114,0.000105418
342,0.114,0.000103451
343,0.115,0.000103398
344,0.115,0.000104798
345,0.115,0.000104993
346,0.116,0.000106526
347,0.116,0.00010796
348,0.116,0.000107297
349,0.117,0.000103763
350,0.117,0.0001003
351,0.117,9.95E-05
352,0.118,0.000102076
353,0.118,0.000105622
354,0.118,0.000107835
355,0.119,0.000107451
356,0.119,0.000105231
357,0.119,0.000102786
358,0.12,0.000101836
359,0.12,0.00010406
360,0.12,0.000107315
361,0.121,0.000108343
362,0.121,0.000106274
363,0.121,0.000104511
364,0.122,0.000104874
365,0.122,0.000104393
366,0.122,0.000104347
367,0.123,0.000102946
368,0.123,0.000104098
369,0.123,0.000106047
370,0.124,0.000108559
371,0.124,0.000108996
372,0.124,0.000107665
373,0.125,0.000107157
374,0.125,0.000107721
375,0.125,0.000107337
376,0.126,0.000104434
377,0.126,0.000101438
378,0.126,0.000101926
379,0.127,0.000102079
380,0.127,0.000102217
381,0.127,0.000102114
382,0.128,0.000103137
383,0.128,0.00010245
384,0.128,0.00010277
385,0.129,0.00010647
386,0.129,0.000109352
387,0.129,0.000107498
388,0.13,0.000102021
389,0.13,0.000100248
390,0.13,0.000100204
391,0.131,0.000102336
392,0.131,0.000103181
393,0.131,0.000104019
394,0.132,0.000104514
395,0.132,0.00010434
396,0.132,0.000103905
397,0.133,0.000103852
398,0.133,0.000104202
399,0.133,0.000105183
400,0.134,0.000104938
401,0.134,0.000104904
402,0.134,0.00010592
403,0.135,0.000105844
404,0.135,0.000104259
405,0.135,0.000102553
406,0.136,0.000101418
407,0.136,0.000102331
408,0.136,0.00010307
409,0.137,0.000103235
410,0.137,0.000103479
411,0.137,0.000101799
412,0.138,0.00010009
413,0.138,0.000100149
414,0.138,0.000101291
415,0.139,0.000104074
416,0.139,0.00010551
417,0.139,0.000104799
418,0.14,0.000103539
419,0.14,0.000101754
420,0.14,0.000102086
421,0.141,0.000103026
422,0.141,0.000103975
423,0.141,0.000104537
424,0.142,0.000103662
425,0.142,0.000102389
426,0.142,0.000103797
427,0.143,0.000108208
