2.941-2.962 min,,
#Point,X(Thompsons),Y(Counts)
0,30,616.2910767
1,31,1001.912781
2,32,1999.765625
3,33,506.0939331
4,34,554.1776733
5,35,884.6481323
6,36,73.03279877
7,37,106.9768524
8,37.1,34.99507904
9,37.9,20.37535477
10,38,150.0064697
11,39,1193.073486
12,40,481.3864746
13,41.1,2539.098877
14,42,1946.803345
15,43,1635.25647
16,44,1918.074585
17,45,7356.203125
18,46,2507.516602
19,47,3490.489014
20,48,3741.430176
21,48.9,510.0878906
22,50,503.722229
23,51,358.3383484
24,52,182.6932831
25,53,515.8743286
26,54,377.8425598
27,55.1,2795.958496
28,56,2113.384277
29,57,769.9962158
30,58,1047.106201
31,59,355.0978394
32,59.9,220.3539124
33,61,4093.968018
34,62,1956.901123
35,63,17636.94336
36,64,672.088501
37,65,1042.029541
38,66,113.2578735
39,66.1,12.99765301
40,66.9,35.78227234
41,67,681.6016235
42,68,408.0896606
43,69.1,2252.309326
44,70.1,643.1704712
45,71,125.5431137
46,71.9,15.90331268
47,72,176.2216949
48,73,441.3303833
49,73.9,13.15941143
50,74,161.85849
51,74.9,37.90921783
52,75.9,67.37866211
53,77,349.8554077
54,78,11865.98535
55,79,2139.751465
56,80,773.6131592
57,81,641.8023682
58,82,932.4381104
59,83,768.3793945
60,84.1,425.9887695
61,85,355.3173523
62,86,76.66343689
63,86.9,32.76776123
64,87,409.2613525
65,88.1,1888.813843
66,89,126.2456818
67,91,162.3755188
68,92,53.591259
69,93,124.5779648
70,94,869.3068237
71,95,181.5366364
72,96,433.4620972
73,96.9,26.19781113
74,97.1,596.4921875
75,98,201.6732178
76,98.1,13.95040894
77,99,24.06500816
78,100,699.0267334
79,101,39.21430588
80,102.9,48.86535645
81,104.9,49.76403809
82,106,10.19485569
83,107,94.41047668
84,108,109.854393
85,109.1,1758.174194
86,110.1,676.75
87,111,85.89424133
88,112.1,137.4055939
89,114,73.2646637
90,114.9,33.19595337
91,122,29.00221634
92,123,64.70353699
93,123.1,43.08934021
94,124,55.19472122
95,124.1,387.9631348
96,125,18.51341248
97,125.1,461.6830139
98,126.1,248.8215637
99,126.9,11.70934486
100,128,11.7908802
101,128.1,37.93334198
102,133,46.15814972
103,154,13.57430553
104,154.9,12.86444664
105,155.1,28.02411842
106,156.1,8923.467773
107,157.1,915.3070068
108,158,49.82146072
109,171.1,465.236908
110,172.1,13.07195759
111,172.2,19.89144707
112,191,22.80645943
113,192.9,36.79377365
114,207,177.2737274
115,266.9,79.33018494
116,355,25.97925949
3.173-3.233 min,,
#Point,X(Thompsons),Y(Counts)
0,30,434.4272766
1,31,738.5839233
2,32,2059.267822
3,33,385.8465271
4,34,464.6181641
5,35,701.5332642
6,36,67.30960083
7,36.1,4.18825531
8,37,147.0030212
9,38,161.0640564
10,39,931.0161133
11,40,399.6149597
12,41.1,1747.786621
13,42,1199.553223
14,43,1254.70813
15,44,1678.860718
16,45,5371.187988
17,46,1883.173462
18,47,2761.546143
19,48,2533.513428
20,49,408.8924561
21,50,433.0515137
22,51,325.3522644
23,52,162.312973
24,53,366.627655
25,54,224.5762329
26,55,1087.199341
27,56,1015.764404
28,57,609.8113403
29,58,1219.523804
30,59,257.3910828
31,59.9,155.9995117
32,61,2633.567627
33,62,1324.367554
34,63,11458.95996
35,64,465.5198975
36,65,720.1890259
37,65.9,78.60308838
38,67,433.4063416
39,68,164.0724792
40,69.1,1439.371094
41,70.1,1192.14502
42,71,142.6458893
43,72,108.010498
44,73,266.0918884
45,74,508.4325256
46,75,34.91592026
47,75,13.25205708
48,75.8,19.94601631
49,77,218.0975494
50,78,6702.414551
51,79,934.7034302
52,80,452.1794739
53,81,306.8335571
54,82,348.2322083
55,83,199.4654694
56,84,220.4262848
57,85,48.08597946
58,86,264.8716125
59,87.9,37.85258484
60,88,19.74566078
61,91,91.44311523
62,91.9,31.60997009
63,92.1,10.50362301
64,93,42.23350143
65,94,377.5394592
66,95,53.66401291
67,95.1,18.01571465
68,95.9,19.65218735
69,96,176.9330292
70,97,116.6991806
71,98,267.4886169
72,99.1,4.24243927
73,102.9,20.78965569
74,103.1,4.357453823
75,108,31.74867439
76,109.1,945.6833496
77,110,197.0737915
78,111.1,17.23072052
79,123.1,4.328146935
80,124,75.88907623
81,125,32.31123352
82,126.1,1138.925781
83,127,80.67044067
84,127.1,40.22724533
85,132.9,48.93542862
86,141,41.08951187
87,141.1,46.83998489
88,142,11.4741621
89,142.1,2057.102783
90,143,168.1333923
91,143.1,46.05860519
92,155.9,14.2385025
93,156,75.23592377
94,156.9,7.934869766
95,157.1,125.663147
96,192.9,14.99884796
97,207,240.1739044
98,208,28.35334015
99,266.9,13.0985918
3.249-3.287 min,,
#Point,X(Thompsons),Y(Counts)
0,30.1,2948.977783
1,31,1000.634033
2,32,2206.799316
3,33,386.7371826
4,34,626.786438
5,35,639.4851685
6,36,83.46874237
7,37,318.5505676
8,38,643.9165649
9,39.1,11517.86328
10,40.1,2830.090088
11,41.1,39439.74609
12,42.1,16287.60938
13,43.1,10977.67773
14,44,2705.751953
15,45,4738.181152
16,46,2278.421143
17,47,2757.078369
18,48,2311.308105
19,49,447.8177795
20,50,935.333374
21,51,1598.818726
22,52,889.2228394
23,53.1,6379.407715
24,54.1,3058.482178
25,55.1,47209.20313
26,56.1,52876.21484
27,57.1,14737.43359
28,58.1,15116.91309
29,59,1043.147217
30,60,878.7745972
31,61,3177.25708
32,62,1619.054565
33,63,14912.44824
34,64,605.7868652
35,65,2250.950928
36,66,676.6586304
37,67.1,9560.325195
38,68.1,4362.340332
39,69.1,70524.50781
40,70.1,34346.72656
41,71.1,4068.665039
42,72.1,3373.690186
43,73.1,7795.166992
44,74.1,18397.38867
45,75,771.9104004
46,76,141.0051422
47,77,1627.177124
48,78,12803.64648
49,79,4725.538574
50,80,1809.213379
51,81.1,16964.9668
52,82.1,8651.180664
53,83.1,13635.61523
54,84.1,7058.948242
55,85.1,1732.124268
56,86.1,7040.215332
57,86.9,17.90368843
58,87,531.4767456
59,88,1003.119385
60,89,130.4126129
61,89.9,6.711878777
62,90,26.39947891
63,91,1246.185059
64,92,350.4374084
65,93,1468.763794
66,94,2169.952393
67,95.1,3094.037842
68,96.1,5095.383301
69,97.1,4660.753418
70,98.1,7481.708496
71,99.1,1313.615356
72,100.1,1152.592896
73,101,71.12287903
74,101.9,43.12221909
75,102,8.1821661
76,102.8,27.13356018
77,103,90.73139954
78,104,48.21741486
79,104.1,23.18314362
80,105,358.7120972
81,106,208.9205933
82,107.1,1215.18396
83,108.1,1327.856323
84,109.1,22046.86133
85,110.1,4483.003906
86,111.1,2966.031982
87,112.1,998.3763428
88,113.1,730.4437256
89,114.1,3207.699707
90,114.9,19.93777847
91,115,257.8345642
92,115.9,6.418971062
93,117,15.98869133
94,119,58.69493484
95,120,46.99930573
96,120.1,6.408500195
97,121,267.2855225
98,122.1,459.9695435
99,123.1,5967.417969
100,124.1,4399.864746
101,125.1,1746.991455
102,126.1,29601.07813
103,127.1,2781.87793
104,128,279.4251099
105,132.9,91.35020447
106,136,126.8005676
107,137,102.5588608
108,138.1,543.6464233
109,139.1,246.3453217
110,140,17.78691673
111,140.1,395.6481323
112,141.1,13588.38672
113,142.1,34659.80469
114,143.1,3208.007568
115,144.1,186.1857452
116,153.9,8.908745766
117,154,19.26781273
118,155,24.52962112
119,155.1,75.82700348
120,156.1,15150.18652
121,157.1,4152.132324
122,158.1,429.59729
123,159,25.96241951
124,190.8,41.68101883
125,191,35.26422119
126,192.8,7.112166882
127,192.9,22.0340004
128,207,453.6602783
129,207.9,100.6853561
130,208.9,25.37900352
131,252.9,14.46484089
132,267,58.09193802
133,280.9,30.29821968
134,281,6.338280201
4.162-4.761 min,,
#Point,X(Thompsons),Y(Counts)
0,30,49.10381317
1,31,261.2588806
2,32,1473.124878
3,33,101.5578232
4,33,9.281445503
5,34,134.759964
6,34.1,0.98810184
7,35,196.6568451
8,35.9,2.857679605
9,36,109.2182617
10,36,13.54859924
11,37,452.7304688
12,38,540.3692627
13,39,944.7841797
14,40,239.6924286
15,40.9,1.606505513
16,41,124.7498627
17,41.1,9.468058586
18,41.9,28.17495346
19,42,98.79361725
20,43,419.8692322
21,44,1304.848389
22,45,1584.256104
23,46,532.2008057
24,47,971.777771
25,48,848.5158081
26,49,484.281189
27,50,2573.282715
28,51,5585.988281
29,52,1121.085083
30,53,278.6307068
31,54,133.9271393
32,54.9,2.504596472
33,55,183.5593262
34,56,52.55286789
35,56.1,6.175536156
36,56.9,27.51696587
37,57,46.47224808
38,57.1,11.9311657
39,57.9,25.17252159
40,58,88.19011688
41,58.1,0.814386666
42,58.8,4.184280872
43,58.9,84.23530579
44,59,8.801146507
45,59.9,35.98747635
46,60,120.1240616
47,61,1183.605713
48,62,1035.563354
49,63,4473.044434
50,63.9,4.9103899
51,64,322.8547058
52,65,24.72978783
53,65.1,38.89579391
54,65.3,57.47264862
55,65.4,78.87601471
56,65.5,291.2000122
57,65.5,232.1310272
58,65.6,8.531964302
59,66.8,5.12201643
60,67,7.407427788
61,69,48.97841263
62,69.1,16.86186409
63,69.2,0.533798397
64,69.9,21.96879005
65,70,67.34938049
66,70.1,14.2070055
67,71,11.34611797
68,71.9,15.95180607
69,71.9,36.69506836
70,72,4.443620205
71,73,490.2507324
72,74,1435.776367
73,75,1095.562866
74,76,1380.44812
75,77,6184.325195
76,78,6344.370117
77,79,448.3159485
78,79.9,116.6359177
79,80,17.01855087
80,80.8,0.490290821
81,80.9,11.68779087
82,81,29.13988686
83,81.8,0.493540734
84,82,10.01593494
85,82.1,0.467119187
86,83.9,8.63328743
87,84,19.13354301
88,84.1,1.214427114
89,84.9,31.56557083
90,85,35.1679306
91,86,106.3034744
92,86.9,7.611507893
93,87,176.8688202
94,87.8,7.652113438
95,87.9,53.27160645
96,88,40.58611679
97,88.9,6.19904089
98,89,237.7981873
99,89.9,2.921102762
100,90,7.526584625
101,90.1,0.451554954
102,90.9,8.669778824
103,91,304.8982849
104,91.9,11.08781147
105,92,61.42953491
106,93.8,0.664693177
107,94,16.20437813
108,95.9,16.96326828
109,95.9,45.85653305
110,96,30.10305405
111,96.8,6.394209862
112,96.9,20.29270554
113,97,21.89803123
114,98,165.2689667
115,98.9,4.462529659
116,99,18.26460648
117,100.9,2.970125914
118,101,196.0074615
119,102,42.42837524
120,102,1519.55542
121,103.1,5514.117676
122,104.1,2200.631592
123,104.9,10.33227444
124,105,355.0480652
125,106,8.975973129
126,108.9,3.888237715
127,109,7.476088047
128,112.9,3.369537115
129,114.9,9.039063454
130,115,108.0526505
131,115.1,2.596808195
132,115.9,3.120708704
133,116.8,0.998393476
134,117,1.501857996
135,118.9,1.95768106
136,118.9,4.703597069
137,126,3.926404476
138,126.1,19.41295815
139,126.2,1.847547293
140,128.9,0.958277166
141,129,6.334915638
142,129.1,1.139362335
143,130,1.098384857
144,130.1,1.643519044
145,131,7313.876465
146,131.9,0.641193271
147,132.1,3676.774902
148,132.9,23.03549194
149,133,375.3377991
150,133.9,1.682432175
151,134,17.98917961
152,134.2,0.535866857
153,141.9,2.70607233
154,142,15.60873508
155,142.1,5.148952007
156,146.8,2.557474375
157,146.9,18.53015327
158,156.1,0.478024423
159,162.9,4.808373451
160,163,1.19543612
161,164.9,1.594225287
162,165,0.994854808
163,176.9,0.483075827
164,177,0.990243018
165,178.9,1.991388321
166,190.9,16.5053997
167,192.9,8.332116127
168,193,13.97252178
169,207,202.1577454
170,207.9,2.155483246
171,208,9.195969582
172,208.1,2.482310057
173,208.9,1.629914403
174,209,3.18591547
175,252.9,1.692180634
176,252.9,25.9826355
177,253.1,0.451487213
178,253.9,0.488734871
179,281,2.778809309
180,281.1,0.592436314
181,340.9,6.702082634
