2.941-2.962 min,,
#Point,X(Thompsons),Y(Counts)
0,30.0400,703.369995117188
1,31.0500,1216.00451660156
2,32.0100,1993.31188964844
3,32.9700,488.681060791016
4,33.9800,545.462219238281
5,35.0000,866.6826171875
6,35.9300,70.3925476074219
7,36.9700,166.109497070313
8,37.9900,218.433380126953
9,39.0300,1646.46838378906
10,39.9800,587.06640625
11,41.0600,3876.86645507813
12,42.0500,2919.69262695313
13,43.0300,1809.72680664063
14,43.9800,1987.66577148438
15,45.0000,7213.63134765625
16,46.0000,2565.109375
17,47.0000,3607.97729492188
18,48.0100,4032.236328125
19,48.9700,523.412963867188
20,49.9900,551.200256347656
21,50.9700,471.689849853516
22,51.9800,258.731048583984
23,53.0300,751.988830566406
24,54.0000,534.392211914063
25,55.0600,4490.21044921875
26,56.0500,3530.33203125
27,57.0400,1190.46862792969
28,58.0400,1454.63989257813
29,58.9900,430.672698974609
30,59.9700,259.295288085938
31,61.0100,4164.69140625
32,61.9900,1983.73999023438
33,62.9900,18061.33203125
34,63.9700,714.092407226563
35,64.9800,1129.52490234375
36,65.8400,23.8564300537109
37,65.9900,164.000427246094
38,67.0200,1139.70971679688
39,68.0300,679.765319824219
40,69.0700,3800.83154296875
41,70.0400,919.625183105469
42,71.0300,234.977935791016
43,71.9000,19.770040512085
44,72.0300,320.657135009766
45,73.0000,575.395568847656
46,74.0000,245.030792236328
47,74.9000,60.548942565918
48,75.8800,80.4466018676758
49,76.9800,458.870513916016
50,78.0100,12501.609375
51,78.9800,2625.79736328125
52,79.9800,856.849426269531
53,80.9000,54.5124740600586
54,81.0100,895.340026855469
55,82.0400,1537.84790039063
56,83.0600,1335.17553710938
57,84.0400,674.820373535156
58,85.0300,603.303100585938
59,86.0000,116.244033813477
60,87.0300,796.478820800781
61,88.0600,3328.92700195313
62,88.9300,32.7510185241699
63,89.0100,151.295196533203
64,90.9800,252.295455932617
65,91.9600,73.5303573608398
66,92.0400,28.5062255859375
67,92.9900,212.194137573242
68,93.9800,1144.34558105469
69,95.0100,327.909729003906
70,95.9400,46.3062362670898
71,96.0500,716.135131835938
72,97.0500,1101.61352539063
73,97.9100,15.9866466522217
74,98.0300,376.059753417969
75,99.0300,41.214111328125
76,100.0500,1224.21203613281
77,101.0200,76.7159042358398
78,101.9100,11.1756210327148
79,102.8800,77.1321105957031
80,104.8200,10.5868282318115
81,104.9900,69.5690994262695
82,106.0600,13.7899570465088
83,106.8800,10.5999660491943
84,106.9800,167.411102294922
85,108.0500,163.305206298828
86,109.0900,3285.63330078125
87,110.0500,1168.47961425781
