2.941-2.962 min,,
#Point,X(Thompsons),Y(Counts)
0,30,1168.101318
1,31,1063.185303
2,32,1998.816772
3,33,492.1503906
4,34,533.2424316
5,35,843.2811279
6,36,77.00136566
7,37,203.4794617
8,38,273.9945984
9,39,2996.087402
10,40,877.4324951
11,41.1,8525.052734
12,42.1,6027.373047
13,43.1,3149.485596
14,44,1997.887939
15,45,7135.063477
16,46,2491.709961
17,47,3780.914063
18,48,5338.210938
19,49,555.5557861
20,50,743.4376221
21,51,739.1958618
22,52,399.6612549
23,53,1647.375
24,54,1207.258301
25,55.1,11260.5332
26,56.1,8496.750977
27,57.1,2221.401123
28,58.1,3099.080078
29,59,627.604187
30,60,382.0996399
31,61,4745.558594
32,62,2153.724609
33,63,20790.77734
34,64,820.0102539
35,65,1628.567017
36,65.9,19.50986671
37,66,275.1780396
38,67,2641.516602
39,68,1702.763062
40,69.1,10407.99609
41,70.1,2268.342285
42,71,591.8978882
43,72,813.017395
44,73,922.7044678
45,74,629.3676758
46,75,101.8664093
47,76,141.562851
48,77,800.2738037
49,78,15866.59961
50,79,3728.907715
51,80,1363.64624
52,81.1,2576.587158
53,82.1,4388.30127
54,83.1,4138.004883
55,84.1,1931.817017
56,85.1,1908.00293
57,86,459.2469177
58,87.1,2462.705566
59,88.1,10246.91602
60,89,609.3438721
61,90,52.50030518
62,91,599.6173096
63,92,194.1104126
64,93,655.2570801
65,94,1754.456055
66,95,939.2478638
67,96.1,2050.913818
68,97.1,3428.526855
69,98.1,1179.648438
70,99.1,150.5397644
71,100.1,3869.305908
72,101,262.3556213
73,102,200.0068054
74,102.9,92.26722717
75,104,41.07205963
76,104,15.27879047
77,105,175.88591
78,106,91.10825348
79,107,524.4006348
80,108,461.671814
81,109.1,9900.654297
82,110.1,3441.935547
83,111,426.1864319
84,112,509.4213867
85,113,65.68448639
86,113.1,36.15711212
87,113.2,10.66482639
88,114,339.8554077
89,115,400.1884766
90,116,241.2452087
91,117,36.7888031
92,122,161.4356079
93,123.1,636.7947998
94,124.1,2237.522949
95,125.1,2569.981934
96,126.1,970.6818237
97,127,110.946167
98,128,286.9676514
99,129,22.81023026
100,138.1,52.66725922
101,139.1,23.34596634
102,140,19.07763863
103,140.1,108.4236603
104,141,31.17005539
105,142,38.0553627
106,142.1,70.59932709
107,154,41.08849335
108,154.1,23.88219833
109,155.1,23.32674026
110,156.1,41483.27734
111,157.1,4239.217773
112,158.1,274.0132141
113,171.1,2200.479736
114,172.1,239.9063263
115,192.9,32.47283554
116,207,108.5182495
117,266.9,101.2687607
118,355,54.7195549
3.249-3.292 min,,
