3.254-3.303 min,,
#Point,X(Thompsons),Y(Counts)
0,30,1320.869507
1,31,818.3637695
2,32,2144.88916
3,33,336.9448242
4,34,486.8423767
5,35,636.697876
6,36,93.54396057
7,36.9,30.03205299
8,37,262.562561
9,38,498.3665161
10,39.1,5863.520508
11,40,1546.928223
12,41.1,17425.30664
13,42.1,8234.786133
14,43.1,5198.774902
15,44,2357.486328
16,45,4720.079102
17,46,1863.0979
18,47,2488.061523
19,48,2135.166504
20,49,434.0259399
21,50,794.647583
22,51,1091.231323
23,52,568.8814087
24,53,3102.273926
25,54,1533.015991
26,55.1,18314.19336
27,56.1,20332.72266
28,57.1,6080.024414
29,58.1,8671.59375
30,59,664.8651123
31,59.9,19.88459396
32,60,417.4117126
33,61,3134.847656
34,62,1551.633789
35,63,13896.45801
36,64,538.1634521
37,65,1521.763428
38,66,403.4350891
39,67.1,4441.060547
40,68.1,1831.224609
41,69.1,27977.08203
42,70.1,16088.06445
43,71.1,1804.129639
44,72.1,1415.05249
45,73.1,3111.997314
46,74.1,7717.693848
47,75,375.7629395
48,76,89.35050201
49,77,1080.400146
50,78,11335.24805
51,79,2684.828613
52,80,1298.302979
53,81.1,6837.191406
54,82.1,4068.130371
55,83.1,5222.852051
56,84.1,3205.325684
57,85.1,918.8817139
58,86.1,3328.56958
59,86.9,13.20787334
60,87,258.4941101
61,88,411.5550842
62,89,60.3660965
63,89.1,26.50736618
64,91,805.7264404
65,92,248.946991
66,93,744.9083252
67,94,1252.634155
68,95.1,1365.148682
69,96.1,2404.787354
70,97.1,2083.911621
71,98.1,3580.75
72,98.9,12.14156532
73,99.1,597.8342285
74,100,490.1165161
75,101,32.42117691
76,102,39.34230804
77,102.9,115.8671265
78,103,13.27260399
79,104,116.9123306
80,104.9,55.37915802
81,105,181.8538513
82,106,137.5984802
83,107,519.9471436
84,108,596.1318359
85,109.1,12100.81738
86,110.1,2438.542236
87,111.1,1171.386353
88,112.1,471.0355835
89,112.9,5.823027611
90,113,256.3389587
91,114.1,1148.861206
92,115,157.0169067
93,117,18.29144669
94,119,33.20038605
95,119.9,5.174919605
96,121,91.02322388
97,122,199.9186707
98,123.1,2032.697632
99,124.1,1707.697876
100,125.1,765.8433228
101,126.1,16297.78906
102,127.1,1541.945557
103,128.1,130.0296173
104,132.9,137.8701019
105,136,39.04366684
106,137,21.07272148
107,138,13.2645216
108,138.1,179.7647552
109,138.9,5.685014725
110,139.1,105.4846191
111,140,171.9757996
