2.341-2.552 min,,
#Point,X(Thompsons),Y(Counts)
0,30,325.7040405
1,31.1,1954.803711
2,32,2391.120361
3,33,849.5592041
4,34,1054.784424
5,35,1657.12915
6,36,67.6849823
7,36.9,4.05693531
8,37,86.12044525
9,38,1.644078612
10,39,51.0898819
11,39.1,24.29841042
12,40,321.8032227
13,41,430.6800232
14,42,1664.46814
15,43,1910.527588
16,44,2738.617676
17,45,12384.90723
18,46,4396.861816
19,47,4918.202148
20,48,5135.418945
21,49,865.6409302
22,50,558.7086182
23,51,195.2277527
24,51.9,20.71153641
25,52.1,4.319731712
26,54.9,15.23029518
27,55.1,5.951417446
28,55.9,121.2117767
29,56,7.80316782
30,57,406.2863159
31,58,603.5213623
32,59,488.9038696
33,60,280.8060608
34,61,8335.787109
35,62,3628.249512
36,63,38739.10156
37,64,1397.169189
38,65,1984.772095
39,65.9,66.4384613
40,67,4.488657951
41,69,8.483801842
42,70,338.2970886
43,72.9,61.78636932
44,73,66.40071106
45,75.9,130.4243011
46,77,343.8415222
47,78,28977.50977
48,79,9702.963867
49,80,1588.58667
50,80.9,508.2649841
51,81.9,5.570545197
52,87.9,13.4738903
53,88,72.73899841
54,88.1,1.891040206
55,90.9,4.480757713
56,91,20.33538437
57,93,1.455019116
58,94,5184.148926
59,95,221.8917236
60,95.9,291.6352234
61,108.9,1.345193744
62,126,66.43299103
63,126.1,29.89256668
64,132.9,2.800693512
65,155.9,5.690235615
66,156,10.0382185
67,190.9,4.574359417
68,206.8,1.362142801
69,206.9,66.98878479
70,207,42.78952026
71,281,49.9068985
72,282,1.966583252
2.935-2.957 min,,
#Point,X(Thompsons),Y(Counts)
0,30,223.0279846
1,31,896.7679443
2,32,2147.305664
3,33,435.9153748
4,34,505.8145142
5,35,766.6735229
6,36,45.47917557
7,36.9,39.88183594
8,37,89.03259277
9,38,170.3937988
10,39,1213.010498
11,40,501.8269653
12,41.1,2768.035156
13,42.1,2015.082031
14,43,1791.232422
15,44,2205.628662
16,45,6441.676758
17,46,2162.852295
18,47,2661.793457
19,48,2915.102783
20,49,434.417572
21,50,450.2181091
22,51,344.6978149
23,52,173.1764679
24,53,491.4001465
25,54,338.6012268
26,55.1,2747.156982
27,56.1,2105.58374
28,57,741.8231201
29,58,990.5162964
30,59,304.5562439
31,59.9,37.4474678
32,60,176.7080231
33,61,3592.691406
34,62,1706.523438
35,63,16537.08984
36,64,582.46521
37,65,1048.94751
38,65.9,106.4101944
39,67,768.2375488
40,68,422.7738647
41,69.1,2529.910889
42,70.1,781.1627197
43,71,144.843689
44,72,205.4107666
45,73,270.1449585
46,74,120.9768448
47,75.9,50.39110565
48,77,393.4761047
49,78,11683.9082
50,79,1801.359741
51,80,738.3509521
52,81,586.1584473
53,82,1003.055786
54,83,872.3341064
55,84,459.0174255
56,85,404.2963257
57,86,84.52062225
58,87,520.503418
59,88.1,2255.953369
60,89,128.7585297
61,91,173.0937195
62,92,80.10955811
63,93,138.4925232
64,94,761.6566162
65,95,239.1346436
66,96,489.1455078
67,97.1,813.0616455
68,98,290.3282471
69,99.1,40.69934845
70,100,921.7984619
71,101,43.56805801
72,105,26.3026886
73,105.9,23.39883614
74,107,184.5165863
75,107.9,29.55694199
76,108.1,74.06227112
77,109.1,2239.168213
78,110.1,780.5617676
79,111,103.5370636
80,112,149.3264771
81,113,10.43230057
82,114,54.67647552
83,114.1,14.03883076
84,120.9,46.4843483
85,122,138.3504639
86,122.9,22.73118019
87,123,132.6013489
88,124.1,541.7397461
89,125.1,559.0734253
90,126.1,318.7182007
91,127,34.66850662
92,128,38.93900681
93,155.2,12.29556847
94,156.1,10325.74023
95,157.1,1068.966553
96,158.1,80.53842926
97,171.1,628.5469971
98,172.1,62.84846115
