2.406-2.595 min,,
#Point,X(Thompsons),Y(Counts)
0,30.0,308.735565185547
1,31.1,2004.43884277344
2,32.0,2840.67309570313
3,33.0,728.130859375
4,34.0,908.556884765625
5,35.0,1461.91137695313
6,36.0,66.5514144897461
7,37.0,101.932708740234
8,37.9,12.2486333847046
9,38.0,3.25393533706665
10,39.0,187.784362792969
11,40.0,352.963989257813
12,41.0,327.759979248047
13,42.0,671.150573730469
14,43.0,2553.2255859375
15,44.0,3609.13696289063
16,45.0,11281.083984375
17,46.0,3937.1513671875
18,47.0,4441.0859375
19,48.0,4335.3779296875
20,49.0,714.361755371094
21,50.0,519.048706054688
22,51.0,201.216369628906
23,51.9,73.2828063964844
24,52.9,44.3863983154297
25,53.0,37.210391998291
26,53.9,13.8529100418091
27,54.0,8.34875011444092
28,55.0,130.397552490234
29,55.0,13.5075645446777
30,56.0,166.857482910156
31,57.0,428.285034179688
32,58.0,671.782409667969
33,59.0,479.644897460938
34,60.0,259.032684326172
35,61.0,6906.6943359375
36,62.0,3084.49169921875
37,63.0,32060.771484375
38,64.0,1108.64953613281
39,65.0,1680.49658203125
40,65.9,80.168327331543
41,67.0,115.402793884277
42,68.0,15.9027557373047
43,68.1,4.37307405471802
44,68.9,2.85231399536133
45,69.0,132.767379760742
46,70.0,605.192077636719
47,70.9,3.81723833084106
48,71.0,41.2543487548828
49,71.1,5.4611759185791
50,71.8,4.59965848922729
51,71.9,14.3818969726563
52,72.0,1.51479935646057
53,73.0,1847.46923828125
54,74.0,205.97346496582
55,75.0,151.177719116211
56,75.9,97.6016159057617
57,76.0,5.11854791641235
58,77.0,440.739929199219
59,78.0,26515.9765625
60,79.0,5792.68212890625
61,80.0,1374.48901367188
62,81.0,423.262908935547
63,81.9,28.0290145874023
64,82.0,70.9178771972656
65,82.1,5.46283054351807
66,82.9,1.64115345478058
67,86.9,1.45325541496277
68,87.0,3.06448411941528
69,88.0,164.736022949219
70,88.9,58.6749000549316
71,89.0,21.8474197387695
72,90.9,13.9131498336792
73,91.0,98.4586410522461
74,91.1,3.12682485580444
75,94.0,2401.6630859375
76,94.9,104.376960754395
77,95.1,3.28493762016296
78,95.9,112.064582824707
79,96.0,118.617309570313
80,96.8,3.00672912597656
81,96.9,35.1908073425293
82,97.1,1.47875642776489
83,97.9,1.55169153213501
84,98.0,9.81462669372559
85,98.1,1.59208714962006
86,102.0,1.432288646698
87,102.9,136.677429199219
88,103.0,10.5969476699829
89,103.9,37.9222564697266
90,104.0,13.9674091339111
91,104.9,21.953275680542
92,104.9,71.433708190918
93,109.0,40.6749572753906
94,109.1,45.9430084228516
95,110.0,4.41138792037964
96,110.9,1.43023347854614
97,111.0,1.500333070755
98,114.8,1.69978439807892
99,114.9,27.4125118255615
100,115.0,24.4081382751465
101,116.9,6.34996891021729
102,117.0,3.22918581962585
103,118.8,5.46564197540283
104,118.9,72.3628921508789
105,119.0,10.4280195236206
106,125.1,3.34945178031921
107,126.0,388.079254150391
108,126.1,27.7840042114258
109,126.8,2.46649956703186
110,126.9,7.37855195999146
111,127.0,34.3826599121094
112,127.1,11.1858196258545
113,132.9,209.539031982422
114,133.8,3.05060768127441
115,134.1,3.03075885772705
116,134.9,19.4276809692383
117,135.0,7.02866268157959
118,141.0,1.51118087768555
119,146.8,2.5429847240448
120,146.9,102.080009460449
121,148.9,51.7749252319336
122,149.0,5.05876922607422
123,153.8,6.69363117218018
124,154.0,27.4542331695557
125,154.8,1.82539319992065
126,154.9,20.5435256958008
127,155.0,30.3644332885742
128,155.1,6.33132171630859
129,162.8,29.5070667266846
130,162.9,85.1433563232422
131,164.7,1.68997478485107
132,164.9,55.5620269775391
133,165.0,21.5156478881836
134,176.9,63.8947334289551
135,177.0,17.9902229309082
136,178.9,46.2381591796875
137,178.9,55.1844177246094
138,179.0,2.04297685623169
139,190.9,115.045425415039
140,191.0,53.1290702819824
141,191.9,39.5963249206543
142,192.0,1.43324363231659
143,192.9,232.24919128418
144,193.8,7.73621273040771
145,193.9,4.61858892440796
146,194.9,1.59330654144287
147,204.8,1.67169523239136
148,204.9,5.33929347991943
149,207.0,586.753173828125
150,207.9,112.890167236328
151,208.1,6.67069482803345
152,208.9,22.4994506835938
153,209.0,57.0359306335449
154,222.9,35.2421951293945
155,236.8,6.29613161087036
156,236.9,21.7369041442871
157,248.9,82.7145614624023
158,249.0,14.1842374801636
159,250.9,47.8427658081055
160,250.9,85.8475036621094
161,251.9,4.35343790054321
162,252.9,11.609974861145
163,253.0,1.49057292938232
164,264.8,3.29275989532471
165,264.9,22.2255554199219
166,265.0,3.48436236381531
167,267.0,848.05322265625
168,267.9,227.36637878418
169,268.9,116.981567382813
170,269.0,25.3501796722412
171,281.0,180.766708374023
172,281.9,3.07031941413879
173,282.0,14.8830833435059
174,322.7,1.58293092250824
175,322.9,5.9398193359375
176,338.9,2.94324970245361
177,339.1,1.52429378032684
178,355.0,599.2236328125
179,355.9,5.79727029800415
180,356.0,210.165084838867
181,356.1,6.24437141418457
182,357.0,97.5108261108398
183,357.0,46.2626152038574
184,357.9,1.63990998268127
2.925-2.946 min,,
#Point,X(Thompsons),Y(Counts)
0,30.1,1506.8720703125
1,31.1,1476.58520507813
2,32.0,2787.89111328125
3,33.0,522.475891113281
4,34.0,547.336791992188
5,35.0,828.739624023438
6,36.0,56.6110649108887
7,37.0,216.244384765625
8,38.0,394.741271972656
9,39.1,5331.5732421875
10,40.0,1625.30322265625
11,41.1,18360.810546875
12,42.1,12233.015625
13,43.1,6113.671875
14,44.0,4000.75073242188
15,45.0,6426.73046875
16,46.0,2175.94555664063
17,47.0,3248.73291015625
18,48.1,6203.76806640625
19,49.0,533.261108398438
20,50.0,591.262817382813
21,51.0,799.194641113281
22,52.0,505.993499755859
23,53.1,2558.32373046875
24,54.1,1881.12768554688
