potential (V),current density (mA/cm2)
0.8,1.98E+00
0.801,1.98E+00
0.802,1.99E+00
0.803,1.99E+00
0.804,2.00E+00
0.805,2.01E+00
0.806,2.01E+00
0.807,2.02E+00
0.808,2.02E+00
0.809,2.03E+00
0.81,2.04E+00
0.811,2.04E+00
0.812,2.05E+00
0.813,2.05E+00
0.814,2.06E+00
0.815,2.06E+00
0.816,2.07E+00
0.817,2.07E+00
0.818,2.08E+00
0.819,2.08E+00
0.82,2.09E+00
0.821,2.09E+00
0.822,2.10E+00
0.823,2.11E+00
0.824,2.11E+00
0.825,2.12E+00
0.826,2.12E+00
0.827,2.13E+00
0.828,2.13E+00
0.829,2.14E+00
0.83,2.15E+00
0.831,2.15E+00
0.832,2.16E+00
0.833,2.16E+00
0.834,2.17E+00
0.835,2.17E+00
0.836,2.18E+00
0.837,2.19E+00
0.838,2.19E+00
0.839,2.20E+00
0.84,2.20E+00
0.841,2.21E+00
0.842,2.21E+00
0.843,2.22E+00
0.844,2.22E+00
0.845,2.23E+00
0.846,2.23E+00
0.847,2.24E+00
0.848,2.25E+00
0.849,2.25E+00
0.85,2.26E+00
0.851,2.26E+00
0.852,2.27E+00
0.853,2.27E+00
0.854,2.28E+00
0.855,2.28E+00
0.856,2.29E+00
0.857,2.30E+00
0.858,2.30E+00
0.859,2.31E+00
0.86,2.31E+00
0.861,2.32E+00
0.862,2.33E+00
0.863,2.33E+00
0.864,2.34E+00
0.865,2.34E+00
0.866,2.35E+00
0.867,2.35E+00
0.868,2.36E+00
0.869,2.37E+00
0.87,2.37E+00
0.871,2.38E+00
0.872,2.38E+00
0.873,2.39E+00
0.874,2.39E+00
0.875,2.40E+00
0.876,2.40E+00
0.877,2.41E+00
0.878,2.41E+00
0.879,2.42E+00
0.88,2.43E+00
0.881,2.43E+00
0.882,2.44E+00
0.883,2.44E+00
0.884,2.45E+00
0.885,2.45E+00
0.886,2.46E+00
0.887,2.47E+00
0.888,2.47E+00
0.889,2.48E+00
0.89,2.48E+00
0.891,2.49E+00
0.892,2.50E+00
0.893,2.50E+00
0.894,2.51E+00
0.895,2.51E+00
0.896,2.52E+00
0.897,2.52E+00
0.898,2.53E+00
0.899,2.53E+00
0.9,2.54E+00
0.901,2.55E+00
0.902,2.55E+00
0.903,2.56E+00
0.904,2.56E+00
0.905,2.57E+00
0.906,2.57E+00
0.907,2.58E+00
0.908,2.58E+00
0.909,2.59E+00
0.91,2.60E+00
0.911,2.60E+00
0.912,2.61E+00
0.913,2.61E+00
0.914,2.62E+00
0.915,2.63E+00
0.916,2.63E+00
0.917,2.64E+00
0.918,2.64E+00
0.919,2.65E+00
0.92,2.65E+00
0.921,2.66E+00
0.922,2.66E+00
0.923,2.67E+00
0.924,2.68E+00
0.925,2.68E+00
0.926,2.69E+00
0.927,2.69E+00
0.928,2.70E+00
0.929,2.70E+00
0.93,2.71E+00
0.931,2.71E+00
0.932,2.72E+00
0.933,2.73E+00
0.934,2.73E+00
0.935,2.74E+00
0.936,2.74E+00
0.937,2.75E+00
0.938,2.75E+00
0.939,2.76E+00
0.94,2.77E+00
0.941,2.77E+00
0.942,2.78E+00
0.943,2.78E+00
0.944,2.79E+00
0.945,2.80E+00
0.946,2.80E+00
0.947,2.81E+00
0.948,2.81E+00
0.949,2.82E+00
0.95,2.82E+00
0.951,2.83E+00
0.952,2.83E+00
0.953,2.84E+00
0.954,2.84E+00
0.955,2.85E+00
0.956,2.86E+00
0.957,2.86E+00
0.958,2.87E+00
0.959,2.87E+00
0.96,2.88E+00
0.961,2.88E+00
0.962,2.89E+00
0.963,2.90E+00
0.964,2.90E+00
0.965,2.91E+00
0.966,2.91E+00
0.967,2.92E+00
0.968,2.92E+00
0.969,2.93E+00
0.97,2.94E+00
0.971,2.94E+00
0.972,2.95E+00
0.973,2.95E+00
0.974,2.96E+00
0.975,2.96E+00
0.976,2.97E+00
0.977,2.97E+00
0.978,2.98E+00
0.979,2.99E+00
0.98,2.99E+00
0.981,3.00E+00
0.982,3.00E+00
0.983,3.01E+00
0.984,3.01E+00
0.985,3.02E+00
0.986,3.03E+00
0.987,3.03E+00
0.988,3.04E+00
0.989,3.04E+00
0.99,3.05E+00
0.991,3.05E+00
0.992,3.06E+00
0.993,3.07E+00
0.994,3.07E+00
0.995,3.08E+00
0.996,3.08E+00
0.997,3.09E+00
0.998,3.09E+00
0.999,3.10E+00
1,3.10E+00
